stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0
  5-6,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0
 14-21,0,0.91,2.61,0,0,0,0,0,3.02,0,0,0,0,0,4,0,0,0,15.16,0,5.86,0,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,1.38,4.01,0,0.65,0.63,0,12.72,0.69,0.74,0,10.43,0,17.76,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0.67,0.57,0,1.5,0,0,10.41,8.52,0,0,25.33,0,6.51,0.71,0,0,0
 48-58,0,0,0.41,0,0,0,0,0,0,0.68,0,5.07,0.41,0,6.06,0,0,0,10.42,0,0.52,0.37,0,0,5.57
 60-70,0,0,1.05,0.63,0,0,0,0,0,0,0,3.38,0,0.68,9.69,0,0,0,5.75,0,0,0,0,0,0
 72-82,0,0,5.8,0.79,0,2.37,0.67,0,2.6,1.26,0,0.82,0,0,0,0.74,2.03,0,0,0,1.5,0,0,0,0
 84-94,0,0,0.64,0,0,3.06,2.29,0,1.17,0,0,0,0,0,4.02,0,0,0,11.17,0,1.48,0,0.66,0,0
 96-106,0,0,4.18,0,0,6.36,2.54,0,4.9,3.86,8.52,0,0,0,3.57,5.1,0,0,13.61,0,1.63,0,0.72,3,0
108-118,0,0,12.71,0.9,3.06,10.59,2.61,2.54,10.32,1.95,0.5,12.26,0,0,2.42,2.16,0.91,0,26.51,0,2.69,0,1.19,0,0
120,0,0,12.37,0,1.28,1.91,0,0,18.28,5.88,10.52,0,3.7,0,2.41,0,0,0,8.03,1.53,0,0,2.24,2.64,0
