stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,57.53,715.5,0,0,0,0,0,0,0,0,0,0,10.45,0,0
  5-6,22.64,203.56,0,0,0,0,0,0,0,10.2,0,0,23.51,0,0
  7-9,0,0,0,0,0,0,15.52,0,0,51.35,0,8.02,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.52,0,3.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.69,0,13.97,0,0,0,1.27,0
 60-70,0,0,0,0,0,0,0,0,0,25.47,0,0,0,0.59,0
 72-82,0,0,0,0,2.43,0,0,0,0,51.59,0,0,0,12.68,0.67
 84-94,0,0,0,0,0.62,0.72,0,0,0.98,28.47,0,0,0,6.7,0
 96-106,0,0,0,0,5.06,0,0,1.19,0,38.54,0,0,0,0,0
108-118,0,0,0.74,0,0,1.88,0,1.25,0,51.09,1.23,0,0,0,0
120,0,0,0,4.93,3.12,0,0,1.07,0,88.4,0,0,0,0,0
