stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,250.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.27,502.56,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,9.21,7.49,0,0,0,0,0,0,0,0
  7-9,18.78,20.4,0,23.56,0,0,63.76,0,0,0,0,9.77,0,0,0,0,0,0,0,0,464.62,19.56,0,0,148.84,0,0,0,0,0,0,0,0,0
 10-12,0,25.53,0,57.06,0,0,21.51,0,0,0,0,11.98,0,0,0,0,0,0,0,0,468.33,0,0,0,182.43,0,0,0,12.97,0,0,0,0,0
 14-21,0,0,0,0.94,0.89,0,3.83,0,0,0.84,0,0,0,0,0,0,0,0,2.67,3.18,38.24,0,0,1.04,0,1.86,0,6.49,0,0.81,9.91,0,0,0
 24-34,0,0,0,0.64,4.39,0,9.02,0,0,1.91,0,0,0,0,0,0,0,0,3.48,0.63,126.69,0,3,0,0,2.44,0,0,0,0,40.08,0,0.93,0
 36-46,0,0,0,0,0,0,12.51,0,0,12.94,0,0,1.71,0,0,1.59,0,0,7.33,1.69,106.44,0,0,0,0,11.53,0,0,1.31,0,20.33,0,0.65,0
 48-58,0,0,0,0,0.42,0,44.79,0,0,8.57,0,0,0,4.99,0,0,0,0,6.59,0.45,109.68,0,0.92,2.18,0,0.67,0,0,0,0,23.01,0.51,0.65,0
 60-70,0,0,0,0,8.9,0,53.9,2.6,2.4,4.77,0,0,0,0,0,0,0,0,9.26,2.87,92.31,0,0,0,0,1.23,0,0,0,0,7.42,0,0,0
 72-82,0,0,0,0,2.78,0,38.88,0,0.61,15.86,0,0,2.06,1.19,0,0,2.05,0,28.8,3.9,77.97,0,0.71,0,0,5.55,0,0,0,0,13.53,0,4.79,0
 84-94,0,0,0,0,2.24,2.51,40.73,1.15,0.77,8.27,0,0.99,0,0.75,0,0.66,0.71,0,39.36,0,70.99,0,0,5.25,0,6.06,0,0,0,0,22.14,0,4.72,1.2
 96-106,0,0,0,0,0,0,15.82,0,0,2.74,1.75,0,0,0,0,0,0,0.95,6.49,0,29.01,0,0,3.4,0,2.51,0,0,0,0,4.1,0,0,0.88
108-118,0,0,0.71,0,0.9,0,14.7,0,0.8,10.34,0,0,1.9,0,0,0,0.67,1.17,11.05,2.37,69.97,0.59,1.91,0.78,0,2,0.79,0,1.36,0,4.46,0,5.66,0
120,0,0,0,0,15.14,0,15.07,3.37,3.06,36.92,1.33,0,0,2.25,12.61,0,0,0,32.49,11.8,113.91,3.33,2.89,1.28,0,2.63,0,0,0,0,9.86,0,13.85,0
