stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0,0,0,2.55,0,0,0,0,0
 24-34,0,0,0,1.81,0,0.78,0,0,0,0,0,0,2.3,0,0,0.59,21.47,0,0,0,0,0,0,2.3,0,0,0,0,0
 36-46,0,0,0,4.97,0,1.84,0,0,0,0,0,0.85,1.33,1.07,6.48,0,76.89,0,1.08,0,0,0.59,1.32,60.95,0,0,0,0,0
 48-58,0,3.91,0.45,13.59,0,16.72,0,0,0,0,0,0,4.89,0,23.25,0,188.11,2.52,0,0.4,0,0,0,193.86,0,2.56,0,0,0
 60-70,0,6.77,0,63.72,0,6.7,0,0,0,0,0,0,15.03,0,22.66,0,418.87,0,0,0,0,0,2.03,183.5,0,5.69,0,1.32,0
 72-82,0,0.64,0,116.18,0.7,19.09,0,2.57,0,0,0,3.96,3.68,0,28.94,0.62,665.91,0,0,0,0,0,0,147.09,0,13.14,0,9.85,4.54
 84-94,0,1.65,0,129.38,0,8.93,0,0.55,0,0,0,0,11.62,0.76,39.42,1.48,424.71,0,0,0,0,0,0,97.83,0,8.98,1.35,19.41,3.17
 96-106,0,1.36,0.67,87.56,0,16.39,1.11,0,0,0.65,0,0,4.71,0,6.45,0,450.81,0,0,0,1.01,0,0,58.1,0,2.81,0.65,5.31,0.68
108-118,0,10.5,1.04,128.06,0,12.48,0,1.18,0.59,0,2.5,0,3.56,0,6.06,0,495.99,0,1.1,0,1.15,0,0,30.72,1.77,0,0,2.48,4.01
120,0,13.78,3.84,173.37,1.33,9.47,0,0,0,0,0,0,0,0,0,2.2,445.65,0,0,0,0,0,0,97.13,0,0,0,10.65,1.1
