stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,37.35,224.73,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0
  5-6,50.35,669.32,0,0,0,0,0,0,0,0,0,26.16,0,21.6,7.75,0,0,0
  7-9,0,39.02,15.88,0,43.68,0,0,8.39,0,0,0,236.04,9.8,88.38,4.16,0,0,0
 10-12,0,0,6.9,0,17.67,0,0,0,0,0,0,201.37,24.89,91.02,7.59,5.22,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,1.07,0
 24-34,0,0,0,0.66,0.84,0,0,0,0,1.89,0,15.6,0,0,1.84,0,0,4.24
 36-46,0,0,0,0,0,0,1.31,0,0,0.63,0,17.76,0,0,10.49,0,0,0
 48-58,0,0,0,0,2.49,0,0,0,0,1.43,0,16.35,0,0,0,0,0.84,0
 60-70,0,0,0,0,8.91,1.49,0,0,0,0.78,0,2.22,0,0,1.94,0,0,0
 72-82,0,0,0,0,7.83,0,0.89,0,0,0,0,7.98,0,0,0,0,0,0
 84-94,0,0,0,1.34,0,0.86,0,0,1.28,0,0,4.45,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.27,0,0,2.92,0,4.58,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.02,6.57,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0
