stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,18.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,27.07,0,0,0,0,0,0,0.92,28.96,0,0,0,0,0,0,0,1.24,0,0,0,2.53,0,0,16.61,0
 24-34,0,0,0,9.74,0,0,0,0,0,0,5.4,83.61,0,0,0,0,0,0,0,13.49,0,0.99,0,19.85,0,0,114.11,0
 36-46,0,0,0,0,0,8.88,0,0,0,0,0.92,158.21,0,0,0,1.53,0,0,0,21.84,0,0,3.68,21.14,2.32,0,55.68,0
 48-58,0,0,0,4.62,0,7.79,0,0,0.51,0,2.34,138.54,0,0,0,1.47,0,0,0.73,1.53,0,0,0,3.14,0.67,0,45.36,0
 60-70,0,0,1.8,5,0,37.1,0,0,1.58,0,2.44,147.14,0,0,0,0.97,0,0,0,3,0,0.96,0,4.19,3.83,0,32.56,0
 72-82,0,0,11.23,2.8,0,44.69,0.5,0,9.57,7.16,4.89,145.3,0,0,0,4.78,0,0.89,0,4.89,0,0.77,1.76,12.38,0,0,87.98,0
 84-94,0,0,4.21,0,0,88.12,0,0,8.37,1.61,0,238.62,0,0,0.57,4.41,0,6.65,0,3.42,2.22,0,0,10.89,0,2,56.79,0
 96-106,0,0,24.48,7.48,0,92.18,0.73,0,0,4.21,2.6,204.47,0.75,0.83,1.82,4.2,0,0,0,19.4,0,0,4.47,24.64,0,0,83.6,4.24
108-118,0,0,21.47,4.55,0.72,117.05,0.57,1.88,11.9,5.38,3.96,196.52,3.31,0,1.28,8.78,0.53,0,0.48,7.41,0,0,0,13.75,1.14,1.87,60.23,0
120,0,0,51.26,0,5.29,24.4,0,0,49.25,1.92,0,241.63,0,2.29,0,5.83,0,0,0,9.77,0,2.76,0,37.64,0,0,88.77,0
