stage,blastomeres,endoderm,epidermis,eye,gut,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,vasculature
  3-4,26.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,34.81,0,0,0,0,0,0
 10-12,0,0,0,9.08,0,0,0,10.48,0,0,3.04,0,0,0
 14-21,0,0,1.88,0,0,0,0,0,0,0,0,0,2.21,0
 24-34,0,0,0,0,0,0,0.95,1.9,0,0.9,0,0,0,0.68
 36-46,0,0,0,0,0,0,0,15.03,0,1.01,0,0.75,0,0
 48-58,0,0,0.6,0,0,0,3.27,7,1.37,0,0,0,0,0
 60-70,0,0,2.8,0.76,1.41,2.11,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.65,0,1.08,0,2,0,0,0,0
 96-106,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
