stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  7-9,0,0,3.32,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,2.61,0,1.68,0,1.68,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0.76,0,0,3.08,0,0.73,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.63,1.03,0,0,32.91,1.04,0,0,0,3.76,4.48,0,0,0
 48-58,0,0,7.96,0,0,0,0,0,0.66,0,0,0,42.49,0,0,0,0.4,0,0.79,0,0,0
 60-70,2.25,0,36.85,1.44,0,3.06,0,0,0,1.06,0,0,116.77,0,0,0,1.54,0,9.02,0,0,0
 72-82,4.97,0,146.25,0,0,0.77,0,2.06,0,1.44,0,0,225.41,0,0.52,0,0.55,0,6.25,1.01,0,0
 84-94,0,0,202.11,0,0,0.84,0,0,0,0,4.49,1.04,134.35,1.28,1.77,0,3.62,0,10.18,0,0,0
 96-106,0.73,3.56,163.43,0,0,1.95,0,0.92,0,1.12,1.22,1.02,152.64,0.57,5.14,0,0.61,0,0,0,1.24,8.09
108-118,2.98,0,128.19,0,2.93,1.3,0,0,0,1.95,0,0,185.04,0,1.1,0,1.11,0,3.96,0,0,1.42
120,4.57,0,91.92,0,0,20.75,1.38,0,0,0,0,0,231,2,4.58,0,0,0,15.93,0,0,0
