stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.45,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.13,0,0,0,24.87,0,0,0,4.78,0,0,0,0,0
 14-21,0,16.05,0,15.88,0,0,0,24.78,0,0,0,0,0,0,6.42,0,0,5.38,320.86,5.27,0,0,0,0,0,0.96,0,0,0,145.07,0,0
 24-34,0,14.86,0,29.35,0,1.5,0,82.39,0,3.07,0,3.74,0.7,0.71,31.32,4.16,0,9.55,777.17,0,0,0.98,0,0,1.54,0,0,1.89,0.71,204.18,0,0
 36-46,0,18.7,0,17.59,0,0,1.53,192.33,0,0,0,0,0,0,97.6,0,0,2.23,497.78,3.41,0,1.32,0,0,0.96,10.98,0,0,0,182.95,0,0
 48-58,0,6.65,0,19.12,0,0.4,0.88,244.16,0,0,0,0,0,0,160.35,0,0.46,3.05,203.3,0.42,0,0.38,0,0,0,0,0,0,0,127.56,0,0
 60-70,0,5.57,0,16.89,0,1.18,0,215.57,0,0,0,0,0,9.86,359.69,0,0,1.61,111.8,0.64,0,0,0,0,0.63,0,0,0,0,60.76,0,9.63
 72-82,0,5.08,3.36,14.39,0,3.73,0,226.28,0,0,0,0,0,0,429.49,0,1.12,0,74.71,0.56,0,1.13,0,2.41,0,0,0,0,0,15.73,0.5,5.3
 84-94,0,4.15,0,36.6,0.75,1.88,0.78,199.81,0,0,0,0,0,0,388.52,0,0,5.96,61.45,0,0,0,0,0,0,0,0,0,0,32.59,0,11.85
 96-106,0,14.38,0,14.84,0,0.6,0,275.77,0,0,1,0,0,0,216.15,0,1.01,0,70.81,0,0,0,0,0,0,0,0,0,0,12.98,0,4.1
108-118,0,9.69,0,13.89,0,0,0,223.53,0.49,0,0,0,0,0,129.03,0,0,1.54,70.93,1.08,1.01,0,0,1.14,0,0,0,0,0,15.04,0,3.49
120,0,2.16,0,16.14,0,0,0,275.93,0,0,0,0,0,0,141.2,0,0,0,105.98,0,1.27,4.19,0,0,0,0,0,0,0,1.75,0,5.53
