stage,axial,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
  3-4,0,9.67,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.17,0,0,0,0,0,0,0,0,0,0
  7-9,4.02,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.25,2.6,0,0,0
 36-46,0,0,0,0,0,0,0,0,10.22,0,0,0
 48-58,0,0,0,0,0,0,0.67,0,31.35,0,0,1.27
 60-70,0,0,0,0,0,0.85,1.4,0,216.08,0,0,0
 72-82,0,0,0,0,0,0,0,0,11.44,0,0,0
 84-94,0,0,0,0,0,0,0,0,21.4,0,0,2.94
 96-106,0,0,0.95,5.93,0.59,1.8,0,0,52.5,0,0.74,0
108-118,0,0,0,0,0,0,0,0,37.79,0.55,0,0
