stage,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,neural,olfactory,pericytes,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,4.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.87,0
 24-34,0,0,0,0,0,0,1.5,0,0,0,0,0
 36-46,0,0,0,3.64,0,0,0.93,0,0,0,2.39,0
 48-58,0,0.73,0.81,6.21,0,0.53,5.2,0,0,0,1.77,0
 60-70,0,0,0,4.49,1.06,0.85,14.09,0,0,0,0,0
 72-82,0.88,5.59,0,44.54,0,0,8.89,0,0,0,0,0.62
 84-94,0,7.3,0,15.28,0,0,2.8,0,0.6,0,1.26,0
 96-106,0,12.97,0,28.99,0,0,0,1.96,0,0,0,0
108-118,0,1.61,0,20.66,0,1.63,5.43,0,0,0.56,0,0
120,0,12.53,0,7.29,0,0,16.95,0,0,0,0,0
