stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,1.07,0,0
 24-34,0,0.63,0,0,0.6,10.66,0,0,0,0,0,1.37,0,0,0,0,0,0.6,0,17.34,25.93,0,0,0,2.46,5,8.01,2.4
 36-46,0,0,0,0,1.78,42.39,0,0,0,0,2.19,0,0,0,0,0,0,0,0,9.13,39.72,0,0,0,12.46,3.21,5.35,4.54
 48-58,0,2.64,0,0,14.21,22.56,0,0,1.47,0,0,0,0,0,0,0,0.58,7.47,0.75,3.24,32.81,0,0,2.46,9.66,0,6.8,0
 60-70,0,5.04,2.83,0,13.83,37.38,0,0,0.67,0,0,0,0,0,0,0,0,5.97,0,15.62,43.57,0,0,0,9.87,0,2.63,2.37
 72-82,0,0,0,0,27.3,11.69,0,4.65,1.66,0,0,0,0,0,0,0,0,7.86,0,3.11,24.19,2.48,0,0,12.12,0,10.45,0
 84-94,0.7,0,0,0,17.65,7.28,0,0,0,0,0,0,0,1.04,0,0,0,8.54,0,2.83,15.73,0,0,0.77,5.06,0,0,0
 96-106,0,0,7.97,0,16.91,28.77,0,0,10.93,0,0,5.39,0,1.05,1.2,0,0,20.17,0,12.74,33.83,0,0.89,12.76,4.21,0,0,0.57
108-118,0,1.01,5.47,1.32,21.92,25.72,0.77,0,2.76,0.47,0,0,0.59,0,0,5.9,0,9.7,0,9,37.43,0,0,2.66,8.92,0,0,10.98
120,0,0,0,0,14.08,50.96,0,0,0,0,0,0,0,0,0,0,0,27.69,0,7.23,12.3,0,0,1.33,9.57,0,0,0
