stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,11.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.35,0,0,1.09,1.29,4.09,0,0
 24-34,0,0,1.67,0.64,0,0,0,1.11,15.71,0,0,0,0,1.93,2.21,0.91
 36-46,0,0,1.27,0,1.08,1.02,0,0,7.76,0,1.58,0,0,5.41,0,0
 48-58,0,0,2.58,0,3.32,0,0,0,15.4,0,1.87,0,0,0.58,0,0
 60-70,0,0,3.17,0,0.63,6.57,1.27,0,4.18,0,4.2,0,0,0,0,0
 72-82,0,0,3.05,0,0,2.57,0,0,3.71,0.51,2.11,0,0,1,0,0
 84-94,0,0,2.54,0,1.51,3.68,0,1.56,1.96,0,0,0,0,0,0,0
 96-106,0,2.28,4.67,0,1.23,1.25,0,1.65,6.13,0,0,0,0,0,0,0
108-118,0,0.42,0.67,0,0.44,2.39,0,0,12.3,0,0,0,0,0,0,0
120,0,1.64,11.72,0,0,0,0,0,0,0,0,0,0,0,0,0
