stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,periderm,spinal_cord,vasculature
  3-4,0,10.74,0,0,0,0,0,0,0,0
  5-6,0,10.03,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,0,0,0,11.35,0,0,0
 10-12,0,0,0,0,0,0,5.73,0,0,0
 14-21,0,0,0,0.93,0,0,5.44,0,0.99,1.14
 24-34,0,0,0,0,0.89,0,2.16,0,1.3,0
 36-46,0,0,0,0,0,0,7.76,0,5.69,0
 48-58,0,0,0,2.12,0.66,0,3.28,0,1.18,0
 60-70,0,0,6.77,3.36,0.67,0.8,5.33,0,0,0
 72-82,0,0,0,0,0,0,2.16,0,0,0
 84-94,0,0,0,1.45,0,0,0.63,0,0,0
 96-106,0,0,0,0,1.02,3.52,2.05,1.38,0,0
108-118,0,0,0,1.71,3.62,7.94,2.38,0,0,0
