stage,blastomeres,hatching.gland,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,25.53,0,0,0,0,0
  5-6,23.54,0,0,0,0,0
  7-9,0,0,9.51,4.27,0,0
 10-12,0,4.53,13.9,0,0,0
 24-34,0,0,0.69,0,8.78,0
 36-46,0,0,0.93,0,0,0
 48-58,0,0,1.85,0,2.52,0
 84-94,0,0,0,0,4.21,0.6
