stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0
 14-21,0,1.05,0.82,117.79,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.25,0,0,5.36,7.25,1.77,0,3.93,0,0,1.67,0,7.45,0,0,2.58,42.64,0,0,148.37,0,0
 24-34,0,0,0,18.47,0,6.08,0,0,0,3.77,0,0,4.08,0,1.27,0,0,0,0,1.46,0,0,1.05,53.13,0,0,0,0,0,0,0,0,0,0,1.6,40.55,0,0,491.11,0,0
 36-46,0,0,3.63,0,0,15.08,0,0,1.16,25.22,0,0,0.56,0,0,0,0,0,7.13,36.73,0,0,2.01,56.96,0.72,0,0,0,0,2.75,0,0,0,0,0,28.48,0,0,204.23,0,0
 48-58,0,0,0.72,1.23,0,34.27,0,0,5.36,37.98,0,0,0,2.24,0,0.49,0,0.48,0,434.34,0,0,1.52,110.27,4.44,0,9.83,0,0,12.97,0,0,0,0,0,31.72,0,4.16,175.85,0,0
 60-70,0,0,8.34,0,0,51.7,1.47,6.29,1.88,45.56,0,0,0.76,0,0,0,0,0,1.24,2671.84,0,0.89,9.63,126.69,13.44,0,7.58,0,0,0,0,0,0,0,0,38.24,0,16.22,165.42,0,0
 72-82,0,0,27.62,6.91,0,173.07,8.45,0.68,8.32,77.32,0.63,2.07,1.08,0,0,3.75,0,5.83,0,7342,0,18.82,5.74,180.48,20.69,8.43,22.96,0,3.38,5.27,0,0,0,0,0,52.96,1.44,20.95,199.84,6.22,8.52
 84-94,0,0,30.68,7.3,0,332.22,3.6,1.47,2.9,56.1,3.45,0,0.78,0.55,6.73,1.92,0,0,0,6503.27,0.71,50.71,13.14,113.85,50.53,0,19.38,0,0,3.73,0,0,7.35,0.68,0,40.96,0.62,18.2,142.73,4.93,0
 96-106,1.12,3.82,90.68,22.83,0.92,219.35,13.96,1.23,2.26,51.1,1.99,0,0,28.94,6.99,2.73,1.17,17.25,0,5212.97,11.84,45.41,29.2,159.25,47.2,1.21,14.19,0,2.56,9.49,0,0,0,1.47,0,10.06,6.54,56.43,147.35,15.72,10.12
108-118,0,0,38.74,2.46,0.78,263.25,1.66,4.95,1.43,56.77,2.22,0,0,42.58,0,0,5.16,5.2,0,4810.52,0,57.36,11.25,192.18,84.44,1.23,30.07,0,7.96,1.17,0,0,0,0,0,15.4,3.19,126.47,96.92,8.58,0
120,0,0,59.23,22.79,1.65,106.08,2.34,3.88,0,51.86,10.26,0,0,7.03,1.45,0,0,5.41,0,4787.14,1.56,20.93,23.58,125.7,107.99,0,19.54,0,16.27,12.23,2.5,0,12.14,0,0,23.14,0,55,74.53,0,0
