stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0,8.59,3.7,2.94,0,2.13,2.1,0,0,0,0,1.32,1.27,22.68,0,0,0,0,0,6.78,0,3.86,10.67,0
 24-34,0,0,1.56,0,2.87,0,0,0,0,0,0,0,5.09,2.45,34.71,0,0,0.64,0,5.97,0,0,1.39,2.17,4.83
 36-46,0,0,0.6,0,1.22,0,5.63,0,0,0,0,0,5.54,0,32.93,0,0,0,0,2.63,0,0,0,2.55,0.92
 48-58,0,0,0.47,0,1.43,0,6.4,0,0,0,0,0,2.02,0,20.26,0.43,0,0,0,3,0,0.4,0,4.68,0.38
 60-70,2.52,0,1.52,0,5.56,0,5.22,0,0,0,0,0,7.3,0.71,10.33,0,0,0,0,0.6,0,0,0,5.92,1.05
 72-82,0,0,1.48,0,7.35,0,1.69,0,0.79,0,0,0,8.93,0.66,9.57,0,1.12,0,0,0,0,0,0,1.07,0
 84-94,0,1.04,0.56,0,6.82,0,12.85,0,0,0,0,0.56,8.16,2.01,5.18,0,0,0.64,0,4.31,0,0,0,0.63,5.46
 96-106,0,0,1.22,0,6.79,0,2.61,0,0,0,1.01,0,7.64,0,11.06,0,0,0,0,1.23,0,0,0,2.66,7.47
108-118,0,0,4.56,0,1.21,0,3.61,0,0,0,0.78,0,8.32,0,8.48,0,0,0,3.27,0,0,0,0,6.15,1.52
120,0,0,0,0,0,1.75,0,0,0,14.06,0,0,5.04,0,3.95,0,0,0,0,0,0,0,0,0,1.32
