stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord
 14-21,0,0,0,0,0,0,10.37,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.12,0,0,0,0,1.09,0,0,0
 48-58,0.49,0,0,0,0,0,0.87,0,2.1,2.11,0,0,0,0,0
 60-70,3.33,0,1.35,0,0,0,10.95,0,0,0.71,0,0,0,0,1.74
 72-82,3.87,2.42,2.91,0,0,0,11.43,0,0,1.7,11.87,0,0.95,0,0
 84-94,0,12.29,8.97,0,0,4.11,40.31,10.3,1.49,6.46,0,0,0,0,0
 96-106,0,29.74,1.93,0.81,0,0,65.83,0,0,4.77,13.21,0.59,10.74,0.58,0
108-118,9.96,20.48,23.02,3.97,1.54,1.08,45.44,0,0.81,5.57,2.82,0,0,5.64,0
120,10.11,0,17.55,3.63,0,0,7.34,0,3.16,0,14.36,0,0,0,0
