stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.57,74.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.68,4.69,0,0,60.45,0,0,0,0,25.47,0,0,0,0,0,0
 14-21,0,0,0,1.1,2.23,0,0,0,0,0,0,1.73,0.98,2.15,16.4,0,0,0,0,1.84,0,11.97,0,37.26,12.91,0,0,0,0,0,17.33,0,837.76,1747.62,12.67,0,0,0,0,9.35
 24-34,0,0,0.84,0.59,20.5,1.6,0,20.91,480.69,0,1.23,3.88,0,0,24.66,0.6,2.28,0,0,0,1.94,21.97,0,241.87,203.99,8.85,0.6,0,0,17.35,1.7,1.51,425.36,1152.11,28.42,0,0,20.07,0,1.3
 36-46,0,0,0,0,2.75,0,0,19.1,892.58,0,0,5.35,0.66,0,17.11,0,0,0,0.8,0,0,16.14,1.93,105.84,162.12,0,0,1.25,32.82,4.98,0,1.81,340.8,71.76,13.52,0,0,5.26,0.78,4.25
 48-58,0.39,0,0,0,0.55,0,0,50.48,455.27,0,0,20.39,0,0.49,10.6,0,0,0,0,0,0,16.13,0,77.16,170.55,5.2,1.93,0,0,3.52,0,0,120.21,0,33.06,0,0,1.94,0,14.99
 60-70,0,0,0,0,0,0.76,0,32.03,292.34,0,0,18.48,0,0,2.5,4.2,0,0,0,0,0,14.19,0,89.22,107.79,3.71,0,0,0.81,3.72,0,0,95.95,0,9.79,0,0,5.65,0,8.54
 72-82,0,0,0,0,0.77,1.53,0,36.91,189.62,0,0.77,3.62,0,1.1,0.65,0,0,0,0,0,0,17.33,0,59.15,67.59,5.96,0,0,0,4.21,0,0,35.75,0,7.81,0,0,8.21,1.24,0
 84-94,0,0,0,0,3.98,7.79,0,49.03,201.03,0,0,7.2,0,0,3.2,1.16,0,0,0,0,0,20.79,1.7,42.63,82.96,0,0,2.2,0,3.77,0,0,65.92,0,6.23,0.56,1.67,2.66,0,0
 96-106,0,0,1.38,0,3.55,20.91,0,78.76,212.64,0,2.21,10.97,0,0,0.69,0,1.22,0,0.58,22.73,0,34.54,0,38.56,125.78,0.7,0,2.8,0,18.37,0,0.71,47.59,0,1.18,0,2.17,3.74,0.76,8.64
108-118,0,0,0,0,3.1,0.9,1.67,46.19,339.95,1.84,0,13.34,0,0,2.11,1.28,0,3.93,0.48,6.78,0.58,38.01,1.47,91.76,94.52,0,10.75,0,0,15.59,0,0,66.11,0,21.1,0,0.57,3.19,1.13,2.11
120,0,0,0,0,32.43,3.02,0,32.11,414.63,0,0,0,3.29,0,4.14,2.59,0,0,0,0,0,20.59,0,107.12,171.94,0,0,0,0,3.45,3.36,0,91.33,0,0,0,0,11.96,0,0
