stage,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,3.29,0,0,0
 10-12,0,8.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.05,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,9.57,1.83,0,0
 36-46,0,0,2.51,0,0,0,1.39,0,0,3.7,3.64,0,0
 48-58,0,0,9.57,0.9,0,0.5,1.26,0,0,11.76,1.33,0,3.5
 60-70,0,0,1.64,10.52,0,0,0,0,0,11.54,2.62,0.67,0
 72-82,0,0,9.23,1.13,0,0,0.71,0,0,7.66,0,0,0
 84-94,0,0,5.25,0.59,0,0,10.37,0,0,8.23,0,0,6.59
 96-106,0,0,6.15,0,0,0,1.06,0,1.81,0,0.84,0,0
108-118,1.98,0,1.01,0,0,0,1.18,0.94,0,10.76,0,0,0
120,0,0,0,0,2.37,0,0,0,0,6.53,0,0,0
