stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,18.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.73,0,4.02,0,0,0,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,21.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.21,7.71,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.87,1.54,0.97,0,1.01,0,0,2.99,3.07,0,0,0,0,0,0,0,0.95,0,0,1,26.92,3.33,0,0,0,2.05,0.85,1.56,1.03,1.96,7.85,0,0,0,0,0
 24-34,0,0,0.96,0,4.32,0,0,8.56,0,0,0.6,0,2.68,0,0,0,0.72,0,0,12.78,0,0,5.15,58.34,0,1.47,2.85,0,10.54,0,3.6,0,0,18.5,0,0,1.89,0,0
 36-46,0,0,0,0,4.64,0,0,13.56,0.74,1.23,5.7,0,0,0,0,0,0.62,0,0.61,35.19,0,0,3.1,72.68,0,5.93,0,0,17.96,0,13.46,0,0,22.53,0,0,0.57,0,0
 48-58,0,0,1.1,0,1.7,0,0,46.11,0,0,22.57,4.38,1.69,1.27,0,0,0.37,2.16,1.48,22.95,1.17,0.46,4.79,130.05,0,4.91,0,0,28.08,0.92,2.16,0,0,26.77,0,0,1.46,0,10.07
 60-70,0,0,0,0,1.59,0,0,61.14,0,0.76,43.04,6.07,0.76,0,0,0,0,1.32,0,31.86,0,0,1.41,144.21,0,7.91,0,0,7.84,0,3.37,0,0,13.87,0,0,0,0,4.77
 72-82,0,0,2.58,0,8.22,4.35,1.86,45.5,0,1.32,29.33,1.51,0.66,1.02,0,1.71,0,2.12,0,50.2,0,0.75,1.43,124.55,2.7,5.53,1.98,0,7.57,0,0.58,0,0,9.64,0.82,1.33,1.69,0.69,0
 84-94,0,0,4.51,0,7.57,0,0.59,25.07,1.83,0,42.06,5.8,0,0,0.79,0,0,19.7,0,22.34,0,0,1.4,69.38,0,5.98,0.67,0,16.98,0,0.94,0,0,7,0,0,1.56,4.87,0
 96-106,0,0,7,0,16.83,2.46,0,27.55,0,0,32.23,3.87,0.62,0,4.79,0,3.02,20.1,0,25.05,0,0.78,7.97,64.14,0,5.68,2.35,0,23.09,0,0.63,5.77,0,3.01,0,0,0.74,0.66,8.85
108-118,0,0,1.11,0,5.88,0.95,9.25,31.73,0.86,0,35.88,10.07,0,0.71,3.47,3.32,0,14.7,0.51,20.33,0,0,2.51,118.09,0,6.64,1.07,0,11.45,0,2.28,0,0,4.16,0,1.04,4.54,0.72,0
120,0,0,0,0,6.73,0,2.97,14.53,1.88,0,76,22.78,4.36,2.69,0,0,0,32.8,0,9.77,0,0,1.5,171.8,0,14.47,1.43,0,24.06,0,5.82,0,0,1.75,0,0,0,1.05,0
