stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,27.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.95,0,0,0,17.48,0,6.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,22.88,0,0,0,6.46,0,9.89,5.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89,0,0.86,0,0,0,152.47,0,0,0,1.77,3.59,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,10.21,0.88,1.21,0,31.8,1.67,0,1.37,0,0,215.89,0,0,1.77,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.23,0,2.03,0,0,0,0,0,0,0.6,0,0,4.4,5.11,0,0,38.44,6.59,0.86,0,0,0,398.34,0,3.29,0.6,0,2.57,0,0,0,0
 48-58,0,0,0,0,1.48,0,0,16.41,0,1.55,0.72,0,3.13,0,0,0,0,0,6.68,6.57,13.08,0,0.4,38.87,0,0,0,0,0,246.94,0,0,0,0,7.58,0,0,0,6.16
 60-70,0,0,0,0,14.61,0,0,7.35,0,6.78,0,2.62,1.85,0,0,0,0,0,0,0.62,10.28,0,0,29.76,0,0,0,0,0,259.85,0,0,0.73,0,1.18,0,0,0,0
 72-82,0,0,0,0,21.11,4.61,0,10.52,1.07,0.68,4.04,8.51,2.11,0,1.47,0,0.75,0,0,3.24,28.14,0,0,34.04,0,1.49,0,0,0,278.27,0,0,0.73,0,0,8.51,0,0,0
 84-94,0,0,0.66,0,57.86,0,0,5.43,0,8.23,1.68,44.04,1.95,0,3.51,0,0.76,0,0,1.51,26.58,2.23,1,26.15,0,0,0,0,0,688.3,0,0,2.52,0,6.07,0,0.76,0,0
 96-106,0,0,0,0.86,125.95,0,1.05,23.69,0,11.43,12.13,52.23,1.06,0.56,3.33,0.63,1.41,10.14,0,2.11,59.59,1.34,0,53.16,0,4.29,0,0,3.14,820.93,0,0,1.55,0,0,4.17,0,0.66,0
108-118,0,0,0,1.66,135.8,0,3.21,17.69,0,17.27,7.81,120.3,0,0.75,10.91,2.11,0,3.15,0,10.29,51.43,4.01,0,65.03,0,1.61,0,0,0,755.3,0,0,0.54,0,2.24,0.91,0.65,0,0
120,0,0,0,0,124.24,0,0,0,0,12.94,1.85,45.11,0,1.11,5.53,0,0,20.37,0,4.13,47.99,0,6.33,34,0,0,0,0,0,460.61,0,0,0,0,3.65,0,0,0,0
