stage,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.49,0,0,0,1.82,2.06
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,3.16,0.78,0,0,0,0,0,15.9,0,0,1.89,0,2.81
 48-58,0,0,0.54,0,0,0,0,0,5.29,0,0,0,0.99,0
 60-70,2.19,2.82,0,0,0,0,0,0,0.89,0,0,0,0,0
 72-82,0,3.41,3.95,0.87,0,0,0,0,2.4,0,0,0,0.61,0
 84-94,1.03,0,0,0,0,0,2.15,0,4.3,0,0,0,0,1.99
 96-106,0,0.63,1.18,0,0,0,0.63,0,0,0,0,0,0,1.07
108-118,0,0.92,0,0,0.46,1.58,0,0,0,0.48,0,0,0,0
120,0,0,0,0,0,0,15.6,2.2,0,0,0,0,0,0
