stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.8,920.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,124.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.98,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,13.6,0,15.83,15.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,58.04,0,0,0,0,0,38.5,0,0,4.78,0,4.75,0,0,0,0,0,0
 14-21,0,0,1.13,4.98,0,0,0,0,1.07,0,0,0.92,21.65,0,0,3.2,0,0,0,0,0.86,1.63,0,9.05,18.89,0,0,0,1.18,0,41.74,0,6.55,1.87,516.42,294.55,8.87,0,0,0,0,0
 24-34,0,0,0,5.25,0,0,14.26,229.44,2.92,0,2.65,0,5,3.27,1.44,10.35,0,0.96,8.73,2.19,6.48,1.89,0,55.69,161.71,0,2.77,4.25,0,0,207.51,0,0,5.52,300.65,199.97,32.65,0,0,1.48,0,0
 36-46,0,0,0,9.26,2.09,0,21.43,276.97,2.88,0,1.58,0,0,0,1.13,0,0,3.92,3.07,12.72,13.42,6.61,0,26.47,150.56,0,3.52,1.26,0,0,277.05,0,0,0.74,150.13,9.84,36.03,0,0,1.05,0,2.41
 48-58,0,0,0,11,3.38,0,52.04,264.87,2.45,1.16,19.61,0,0.4,0,10.49,1.82,0,0,0,14.36,15.82,9.04,0.56,12.13,263.96,0,0.92,0,0,0,203.56,0,0,0,164.59,0,46.38,0,0,0.7,0,7.24
 60-70,0,0,0,9.49,5.59,0,67.84,127.69,10.89,0,13.26,0.61,0.89,0,2.1,3.89,7.43,1.02,1.53,0,16.86,0.74,0,25,203.26,0,0,7.05,0,0,187.85,0,0,0,86.92,0,35.94,0.84,0,0.82,0,6.89
 72-82,0,0,0,6.76,48.15,0,71.79,106.86,0.5,0.96,35.87,1.02,0,0,1.18,4.12,1.53,1,7.31,0,37.48,4.53,0,21.9,384.97,0,1.57,2.89,0,0.89,89.61,0,0,0.97,36.95,0,24.8,1.83,2.47,0.67,0.93,8.28
 84-94,0,0,0,21.23,64.67,0.87,151.28,105.36,8.74,3.16,27.39,11.16,0.76,0,6.4,4.67,2.7,5.65,3.27,0.67,41.94,6.12,0,13,313.68,0.66,2.73,15.08,0,0,346.17,0,0,2.74,83.1,0,22.73,9.69,1.7,0,0.6,7.58
 96-106,0,0,0,38.32,117.06,0.97,175.19,140.41,12.58,10.24,47.38,12.32,0,0.61,5.15,9.7,0,6.36,16.68,0,56.01,9.37,2.86,23.61,346.14,0,3.27,13.45,0,0,220.07,0,0,0,97.86,0,28.77,3.56,5.4,17.34,1.46,22.44
108-118,0,0,1.56,41.92,35.42,2.46,153.88,87.84,9.06,2.37,56.88,7.52,0,1.42,2.49,9.18,4.44,2.03,15.01,1.01,36.36,11.57,1.46,38.13,419.84,0,3.42,10.78,0,3.72,214.64,0,0,0,68.2,0,7.44,5.46,0.9,6.5,0,9.24
120,0,0,0,27.13,46.85,0,125.25,61.03,24.09,1.6,24.57,7.94,0,0,24.96,8.65,0,11.01,12.56,0,49.45,3.08,0,16.98,423.91,0,0,1.61,0,0,189.1,0,0,0,22.44,0,12.25,1.06,0,1.96,0,0
