stage,axial,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,11.68,0,14.9,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,36.24,0,0,0,0,0
 14-21,0,0,0,0,0,2.78,1.74,39.29,0,3.05,12.02,0.97,0.87,0,0
 24-34,0,0,0,0,0,1.38,7.45,25.52,0,0,0,6.33,0,0,0
 36-46,0,0,0,0,0,0,6.24,343.87,0,0,0,0,2.19,2,0
 48-58,0,0,12.06,0,1.06,2.95,36.01,316.83,0,0,0,0,0.72,0.56,2.15
 60-70,0,0,5.84,9.46,0,0,12.2,680.33,0,0,0,0,0,0,0
 72-82,0,0,2.27,0,0,0,0,141.64,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.18,8.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.66,0,87.05,0.73,0,0,0,0,0,0
108-118,0,4.5,0,0,0,1.03,0,125.8,0,0,0,0,0,0,0
120,2.82,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0
