stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,168.74,4195.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.5,0,0,0,0,0,0,0
  5-6,178.48,1858.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.14,0,0,20.5,13.73,0,0,0,0,0,0,0
  7-9,10.43,24.72,0,49.56,0,0,3.45,0,0,0,0,18.1,0,0,0,0,0,0,266.34,14.14,0,258.71,0,27.15,0,0,0,0,0,0
 10-12,0,0,0,78.16,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,56.44,0,0,128.12,0,16.86,0,0,0,0,0,0
 14-21,0,0,0,0,2.38,0.91,0,0,0,0,0,0,0,0,0,0,0,8.16,5.47,0,0,0,0,1.12,15.77,0,27.35,0.88,0,0
 24-34,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,2.42,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.69,0,0,0,0
 48-58,0,0,1.26,0,0,0,169.92,0,0,0.42,0,0,0,0,0,0,0,0,28.55,0,0,0,0,0,0,0.93,0,0.41,0,0
 60-70,0,0,0,0,0,0,341.25,3.43,1.57,0,4.33,0,0,0,0,0,0.89,0,5.97,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.97,0,0,0,262.75,3.65,0,0,1.4,0,0,3.61,0.86,0,0,0,17.54,0,0,0,0,0,0,0.49,0,0,0,0
 84-94,0,0,2.95,0,0.65,0,261.51,10.14,0,0,0,0,1.01,6.07,0,0,6.02,0.87,2.96,0,0,0,0,0,0,0,0,0.58,0,0.74
 96-106,0,0,0,0,0,0,159.99,9.1,0,0,0,0,0,0,1.94,0,15.95,0,5.69,0,0,0,0,0,0,1.46,0,0,13.08,1.29
108-118,0,0,3.75,0,0,0.56,127.88,8.48,0,0,1.86,0,1.35,5.11,4.17,0,6.37,0,17.56,0,1.04,0,0,0,0,0.64,0,0,20.66,2.97
120,0,0,2.08,0,10.22,0,154.76,4.89,0,0,0,0,0,5.99,0,0,13.48,0,5.5,0,0,0,0,4.99,0,0,0,0,14.76,0
