stage,blastomeres,eye,glial,neural,olfactory,otic,spinal.cord
  5-6,6.26,0,0,0,0,0,0
 24-34,0,0,0,1.03,1.96,0,0
 36-46,0,0.99,0,5.18,0,0,1.4
 48-58,0,0,0,2.09,1.18,0,2.29
 60-70,0,4,0,8.32,0,0.63,3.88
 72-82,0,2.78,0.73,20.15,0,0,0
 84-94,0,11.48,0.74,7.16,0,0,0
 96-106,0,0,1.46,18.22,1.07,0,0
108-118,0,9.68,0,9.57,0.72,0,0
120,0,0,0,10.28,0,0,6.72
