stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.61,0,0,6.63,0,0,0,0,0,0,0,0,0,0,38.7,8.71,0,0,20.28,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,4.85,0,0.84,0,0,10.74,0,0,0,0,1.1,0,0.91,11.06,0,0,0,0.89,0,0,4.98,1.4,65.18,0,0.84,0,0
 24-34,0,0.84,0,5.52,0,5.82,0,0,14.66,0,0,2.05,1.3,4.47,0,2.64,246.7,0,23.61,31.96,0,0.67,0.93,10.48,0,68.34,0,0,0,0
 36-46,0,0.95,0,3.9,0,3.38,0,7.86,8.47,0,0,0.81,0,3.82,0.74,0.91,259.68,0,78.17,7.09,0,0,0.9,9.3,0,93.25,0,0,0,0
 48-58,0,0,0,0,0,9.96,0,0,10.94,0,0,3.49,0,3.59,0,0,287.92,0,45.83,27.22,0,0,0,5.5,0,64.23,0,1.18,0,0.99
 60-70,0,0,0,3.67,0,19.32,0,0,5.83,0,0,14.33,0,7.96,0,0.88,452.7,0.64,20.65,47.93,0,4.93,0,22.94,0,19.62,0,0,0,0
 72-82,0,4.88,0,0.74,2.81,15.76,0,0,24.58,0,0,25.01,0,17.44,0,0,385.54,0,45.62,79,0,1.54,0,2.01,0,22.34,0,1.24,0.93,4.49
 84-94,0,2.65,0,0,0,19.47,0,0,5.45,0.73,0,34.23,0,7,1.58,0,130.1,0,76.27,180.52,0,2.46,0,7.12,0,24.07,0,0.97,0,0
 96-106,0,3.2,0,0,0,8.23,0,0,19.31,0.71,0,62.44,0,7.23,0,0,92.85,0,132.61,190.5,0,2.6,0,3.41,0,27.26,2.03,0,0,3.81
108-118,0,2.86,0,1.61,0,8.39,0.57,0,11.45,0.81,2.71,32.7,0,2.86,0,0,93.23,0,68.32,149.95,0,0,0,6.92,0,9.13,2.43,0,0,0
120,0,1.37,0,0,0,4.21,1.33,0,0,0,0,40.1,0,1.64,0,0,148.45,0,74.49,201.27,0,0,0,11.84,0,9.37,0,0,0,0
