stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.82,267.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,0,0,0,0,0
  5-6,89.6,573.33,0,0,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,31.57,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,3.23,0,0,0,18.03,0,0,0,0,3.78,0,0,0,0,0,0,0,81.25,0,0,13.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,74.19,0,0,24.88,0,0,9.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.66,0,0,0.84,0,0,0,1.22,0,0,0,0,0,0,0,5.38,8.42,0.93,0,0,0,4.46,0.88,1.19,4.21,9.3,0,0,1.02,0,0
 24-34,0,0,0,0,0.93,0,0,7.61,0,0,0.86,0,0,0,0,0,0,0,0,2.44,26.34,0,0,0,0,0,0,0,5.11,12.63,0,0,0,0,1.93
 36-46,0,0,0,0,0,0,0,20.63,0,0,0,3.31,0,0,0,0,0,2.33,0,1.74,41.46,0,0,0,0,0,0,0,0,19.86,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,53.04,0,0,0.85,9.68,0,0,0,0,0,3.99,0,2.52,47.97,0,0,0,0.69,0,0,0,0,45.4,0,0,0,0,1.67
 60-70,0,0,0,0,0,0,0,415.78,0,0,0,61.37,0,0,0,0,0,3.21,0,5.2,75.66,0,0,0,1.47,0,0,0,0,41.34,0,0,1.99,0,0
 72-82,0,0,0,0,0.87,0,0,616.71,0,0,0,63.37,0,3.51,0,0,0,15.36,0,0,133.76,0,0.61,0,0,0,0,0,0,22.98,0,1.45,0.65,0.89,0
 84-94,0,0,0,0,1.53,0,0,524.61,0,0,1.19,27.03,0,0,0,0,0,20.8,0,1.72,51.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.36,0,6.19,0,0,573.51,1.72,1.01,0,43.56,0,0,9.11,0,2.05,17.91,0,1.09,93.3,0,1.98,0,6.19,0,0,0,0,7.18,1.14,0,0,0,10.15
108-118,3.95,0,0,0,0,5.36,0,531.04,0,0,0,67.89,0,0,0,0,0,7.6,1.62,6.2,77.05,1.23,1.56,0,0,0,0,0,0,5.9,0,0.57,0,1.31,0
120,0,0,0,0,0,0,1.6,640.95,0,2.21,0,88.73,0,0,0,2.07,0,3.09,0,0,163.6,0,14.75,0,3.77,0,0,0,0,1.19,0,0,2,0,0
