stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,64.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.44,0,20.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.47,0,0,0,4.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.77,0,0,0,8.27,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.49,3.54,0,1.72,0,0,0,0,0,0.92,0,0.8,0,0,0,0,0,0,3.61,27.04,0,0,0,2.52,0.88,5.55,0,0,6.32,4.89,0,0,0
 24-34,0,0,0,3.42,0,0,12.07,0.68,1.06,0.83,1.35,0,0,0.61,0.81,0,0,0,30.29,1.32,0,5.24,115.18,0.71,0,0,0,17.01,0,2.3,0,1.34,33.71,0,8.6,0
 36-46,0,0.73,0,0.65,0,0,18.91,0.62,0,0,0,0,0,0,0,0,10.49,0,6.12,3.23,0,6.16,36.21,0,0,0,0,11.18,0,0,4.05,0,21.68,0,0,0
 48-58,0,0,0,0.91,0,0,49.3,0.49,0,1.35,0.64,0,0,4.27,0,0.38,0,0,12.65,0,0.5,6.17,38.52,0,0.56,1.22,0,12.42,0,2.22,0,0,10.34,0,0.47,0
 60-70,0,0,0,0,0,0,22.9,0,0,7.68,0,0,0.76,1.58,0,1.16,0,0,14.74,0,0,0,12.59,0,0,0,0,9.3,0,0,0,0,2.68,0,0.72,1.79
 72-82,0,0,0,0.49,0,0,24.14,0,0,0.96,0,0,0,0.56,0,0.65,0,0,9.5,0,0,3.99,34.3,0,2.7,0,0,3.55,0,0,1.81,0,9.48,2.98,1.91,0
 84-94,0,0,0,0,0,0,24.33,0,0,2.01,0,0.77,0,0.73,0,0,0,1.11,5.29,0.98,0.83,0,10.95,0,0.98,0,0,8.28,0,0,0,0,2.44,0,1.26,0
 96-106,0,0,0,1.34,2.24,0,14.93,0,0.57,3.09,0,0,0,4.44,0,0,2.18,0,12.14,0,0,1.16,22.18,0,0,0,0,9.91,0,0,0,0,5.4,0.56,2.64,3.78
108-118,0,0,0,1.22,0,0.85,9.88,0,0,1.28,0,0,0,1.71,0.44,0,0,0,6.29,0,0,0,17.95,0,1.95,0,0,7.35,0,0,0,0,0,0,0,0
120,0,0,0,4.64,0,0,48.26,3.23,0,3.47,0,0,0,0,2.78,0,0,0,15.9,0,0,2.85,38.5,0,10.58,0,0,4.48,0,0,0,0,0,0,0,0
