stage,eye,neural,presomitic.mesoderm
 14-21,0,2.02,0.84
 48-58,3.36,0,0
 60-70,2.53,0,0
 72-82,6.51,0,0
 84-94,6.84,0,0
 96-106,0,1.53,0
108-118,2.32,1.95,0
120,0,3.34,0
