stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,141.28,13850.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.54,0,0,0,0,0,0,0,0,0,0
  5-6,143.97,8520.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.89,0,0,0,0,33.5,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.94,0,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.06,0,0,19.57,0,5.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.22,0.87,0,0,0,0.95,0,0,8.82,13.63,0,0,0,0,0,8.22,0,0,11.33,9.72,2.81,0,0,0,41.45,0,0.86,43.52,14.51,0.97,12.15,0,0,0,0
 24-34,0,0,0,7.04,3.58,0,5.42,0,0,0,2.98,6.38,0,1.47,0,0,0,0,65.93,0.74,0,15.22,59.62,0,0,0,0,132.59,0,0,60.55,43.58,0.73,8.29,0,0,0.82,0
 36-46,0,0,0,0.72,0,0,9.68,0,0,0,11.23,7.76,0,0,0,0,0,0,31.91,5.98,0,9.29,103.63,0,0.66,0,0,207.38,0,0,50.62,25.14,0,21.34,0,0,2.88,0
 48-58,0,0,0,0,3.63,0.43,18.92,0,0,0,4.33,0.99,0,0.89,0,0,0,0,20.73,2.92,0.77,6.22,57.96,0,9.11,0,0,109.29,0.65,0,20.49,5.37,0,24.19,0,0,0,2.38
 60-70,0,0,0.62,0,3.16,0,26.83,0,0.99,0,5,3.59,0,0,0,3.28,0,0,13.42,0,0,9.1,74.15,0,27.5,0,0,56.41,0,0,33.13,3.02,0,24.05,0,0.98,9.36,6.39
 72-82,0,0,0,0,0.61,0,58.23,0,0,0.62,9.52,0.7,0,0,1.8,3.04,0,0,15.16,0,1.82,2.46,67.46,0,7.81,0,0,14.24,0,0,23.31,0.52,0,10.76,0,0.9,0,0
 84-94,0,0,0.56,0.67,0,0,94.45,0,0.86,2.35,11.32,12.55,0,0,0,0,0,0,3.79,0,3.23,6.04,46.08,0,17.35,0,0,31.13,0,0,43.47,0,0,9.24,0.66,0,0,3.41
 96-106,0,0,0,1.69,2.56,0,77.74,0.77,1.23,0.92,13.4,14.06,0,0,3.73,0,7.25,1.06,23.19,0,0,6.35,45.63,0,10.2,0,4.62,16.24,0,0,46.55,0.83,0,16.59,0.85,0,0.56,0
108-118,0,0,0,2.92,2.83,0,81.89,0,0.67,0,23.96,21.33,0,0,0.72,0,1.83,0,19.51,0,0,2.73,53.78,0,7.11,0,0,3.65,0,0,32.62,0.5,0,0,0,0,0,0
120,0,0,0,6.49,7.63,0,41.09,0,0,0,6.6,5.79,0,0,3.58,0,0,3.42,27.75,0,0,0,90.09,1.08,11.33,0,0,1.07,0,0,32.62,0,0,7.58,0,0,0,0
