stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,101.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0
  5-6,0,210.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.11,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,83.78,8.02,0,0,34.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93,11.69,0,0,29.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.35,0,8.79,0,0,2.19,0,0,0,0,0,0,0,0,11.19,0,0,8.21,74.63,6.98,0,0.85,0,0,0,11.83,0,6.28,19.95,0,0,0,0
 24-34,0,0,0.66,0.64,2.14,0,6.95,0.8,0,8.43,0.69,0,0.86,0,1.01,0.92,0,0,8.54,0,0,10.36,123.87,0,3.95,0.63,0,0,3.31,0,0,0,25.44,0,0,0,0
 36-46,0,0,0,0,4.32,0,17.85,1.19,3.25,3.36,0.58,2.19,0,0.73,0,1.95,0,0.63,20.51,2.74,0,5.73,159.79,0,2.56,0,0,0,12.8,0,0,0,24.03,0,1.73,0,0
 48-58,0,0,0,0,11.3,0,22.35,0,0.47,6.18,0,0,0,1.54,0,0,1.73,0.6,9.45,0,0.38,3.36,151.99,4.08,1.55,0.62,0,0,4.69,0,0,0,26.63,0,0,0,3.4
 60-70,0,0,0,0,10.8,0.66,34.87,0,0,22.6,0,0.89,0.84,0,0,0,0,12.14,8.79,0,0,5.95,311.2,0,1.98,0,0,0,8.31,0,1.87,0,29.1,0,0,1.54,0
 72-82,0,0,0.69,0,3.06,5,54.47,0,0.64,16.16,0.76,0,0,0,0,4.95,1.65,6.37,24.45,0.77,1.52,0.66,317.13,0,4.18,1.14,0,0,14.69,0,0,0,22.8,0,0,0,8.48
 84-94,0.62,0,0,0,4.26,1.04,33.54,0,0,3.32,1.16,0,0,0.82,2.08,0,0,0.58,18.73,0,0.55,7.1,172.04,1.41,0.56,3.88,0,0,10.24,0,5.09,0,15.54,0,0,0,0
 96-106,0,0,1.87,0,5.88,4.79,34.33,0.6,0,16.94,0,0,0,0,0,2.73,0,2.16,25.5,0,1.67,1.44,155.6,0.57,2.58,0.6,0,1.44,8.59,0,0,0,0,0,0.62,3.88,4.81
108-118,0,0,0.71,0,7,0.46,35.89,0.55,1.23,24.78,3.5,0,0,2.46,2.05,0,0,0,29.94,0,0,4.59,235.41,1.3,0,2.4,0,0,3.76,0,0,0,9.36,0.83,0.86,0,2.93
120,0,0,0,0,10.69,2.72,62.39,1.62,0,69.08,2.6,0,0,8.56,0,0,0,0,25.05,0,0,5.62,529.56,0,1.46,3.63,0,0,13.93,0,0,0,0,0,0,0,0
