stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.15,4.46,0,0,5.81,0,0,0,0,0,0,0,0,0,0,59.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.15,0,0,0,3.1,0,0,0,0,0,0,0
 14-21,0,0.91,0.87,0.96,0.97,0,0,1.08,0,0,0,0,0,0,0,35.75,0,0,0.92,0,1.03,5.15,0,0,0,0,0
 24-34,0,0,0.61,0,6.28,0,0,1.47,0.67,2.33,0,3.3,0,0,0.95,60.36,0,0.64,0,1.71,1.1,13.89,0,0,3.91,0,0
 36-46,0,0,0,0,13.05,0,0,2,0,0,0,1.35,0,0,0,116.22,2.18,1.46,0,0.71,0,19.51,0,0,1.04,0,0
 48-58,0,0,0,0,27.54,0,0,3.78,0,1.2,1.39,3.75,0,0,2.76,112.98,0,0.46,0,0,0,25.64,0,0,0,0,3.49
 60-70,0,0,3.21,0,52.58,0,0.68,25.16,0,0,0,6.47,0,0,0.68,92.68,0,0,0,0,0,21.96,0,0,0,0,0
 72-82,0,0,0.63,0,62.73,0,0,5.7,0,0,0,7.39,0.66,0.77,0,63.8,0,0,0,0,0,9.92,0,0.75,3.07,0,0
 84-94,0,0,0.88,0,55.65,0,0,2.03,0,0.78,0,8.88,0,0,1.88,54.67,0,0,0,0.61,0,2.88,0,0,0,0.98,0
 96-106,0,0,0.57,0,17.73,1.82,0,1.23,1.53,3.09,0,7.65,0,0,0,40.89,0,0,0,1.95,0,8.53,0,0,0,2.3,0
108-118,0,0,1.31,0,21.78,0,2.49,3.5,0,2.66,0,18.25,0,0,0.66,42.8,0,0,0,0,0,3.01,1.26,0,4.22,0.49,0.5
120,0,0,3.48,0,21.1,0,0,5.66,0,0,0,0,0,0,0,72.33,0,0,0,0,0,1.98,0,0,0,0,0
