stage,axial,blastomeres,endoderm,eye,glial,lateral.line,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,11.99,20.04,0,0,0,0,0,0,0,0,0
  5-6,0,64.14,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,9.96,0,0,0,11.17,0,0,0
 10-12,0,0,4.37,3.73,0,0,0,0,3.49,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.85
 24-34,0,0,0,0,0,0,0,0.68,0,0,0
 36-46,0,0,0,0.74,0,0,0.95,1.88,0,0,0
 48-58,0,0,0,0,0,0,0,2.92,0,0,0
 60-70,0,0,0,0,0,0,0,0.84,0,0,0
 84-94,0,0,0,0,3.05,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.1,0,0,0,0,0
120,0,0,0,0,0,0,0,4.84,0,1.01,0
