stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,316.59,8875.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,663.21,9685.31,0,9.08,0,0,0,0,0,0,0,0,22.99,0,0,0,0,0,0,0,0,0,0,0,282.59,28.83,0,0,126.42,0,124.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,259.73,413.16,0,433.83,0,0,0,1390.23,0,0,0,0,388.13,0,0,0,0,0,0,0,0,0,0,0,9817.27,311.5,0,0,3401.69,0,48.64,14.67,0,13.28,0,0,0,0,0,0,0,0
 10-12,0,398.18,0,405.57,0,90.56,0,949.11,0,0,0,0,104.17,0,0,0,0,0,0,0,0,0,0,0,8767.61,310.07,0,0,2674.93,0,8.69,14.68,28.22,398.35,0,11.45,24.07,0,0,0,0,0
 14-21,0,8.65,0,21.62,436.78,130.96,0,310.9,0,0,61.07,18.51,1.44,5.24,1.15,11.98,1.73,2.29,4.97,3.77,246.36,0,0,216.31,3080.8,110.3,16.07,43.52,99.91,0,69.36,5.7,319.91,37.65,2.31,376.85,789.85,0,0,27.09,0,8.75
 24-34,0,0,0.8,17.17,112.65,115.2,0,619.35,2.48,13.64,89.4,12.37,0,11.4,10.19,15.29,8.33,20.93,7.1,0.62,598.19,3.12,0,225.01,3912.18,23.28,19.53,56.74,0,1.14,152.1,0,4.49,8.8,3.64,66.03,771.23,0,0,139.13,0,3.16
 36-46,0,0,0.98,1.87,71.59,30.14,0,609.58,3.1,8.55,52.36,4.44,0,6.46,17.24,1.21,1.4,5.81,7.56,2.86,519.49,0.63,13.45,183.99,1847.4,4.99,11.02,26.35,0,0,118.52,0,1.05,5.38,0,0,351.14,0,0,68.73,0,1.68
 48-58,0,0,0.54,0.42,44.7,9.47,0,414.57,6.43,18.06,87.03,9.49,0.7,13.32,16.39,4.09,8.76,6.03,4.77,2.1,641.05,2.93,29.58,131.58,766.09,4.86,4.15,25.71,0,1.9,62.12,0,0,1.04,0,0,131.54,0,3.16,69.75,0,4.2
 60-70,2.41,0,0,0,77.7,9.69,0,449.38,8.24,22.98,128.06,17.92,0,10.37,26.1,0.67,1.2,5.23,1.5,4.7,892.37,2.81,49.08,113.71,527.89,18.52,8.69,11.65,0,4.27,111.17,0,0,5.24,0,0,64.51,0,19.05,56.07,6,9.32
 72-82,0,0,0.69,0,64.62,30.99,0,170.97,5.57,29.22,120.66,16.09,0,14.11,29.98,8.34,1.88,15.89,5.1,0,999.6,4.87,50.01,103.4,395.14,8.42,5.46,13.14,0,2.88,46.27,0,0,3.38,0,0,58.32,1.97,22.71,77.18,18.18,3.53
 84-94,0,0,0.66,0,91.43,36.54,0,153.32,11.75,28.44,70.31,28.66,1.86,10.5,26.28,4.93,7.15,11.24,3.5,0,845.89,7.25,56.65,102.08,303.48,11.89,7.5,16.57,0,7.01,127.08,0,0,8.03,0,0,34.77,3.27,30.85,92.01,32.6,7.36
 96-106,0,0,2.96,3.12,120.67,101.72,0,140.92,6.4,24.67,126.81,48.91,0,22.28,77.76,9.64,7.34,21.8,19.52,0,937.6,13.38,35.36,109.94,420.83,11.67,18.33,47.8,0,20.52,191.71,0,0,8.46,0,0,10.28,2.29,20.6,135.58,29.92,4.39
108-118,0,0,0.62,0,110.94,84.52,2.48,118.93,15.82,17.12,145.05,35.1,0,6.32,64.21,10,9.8,12.37,11.33,4.6,1250.7,4.22,52.86,103.57,393.66,15.81,14.86,31.71,0,24.35,144.07,0,0,3.61,0,0,27.8,11.12,24.44,110.38,34.46,15.4
120,0,0,7.45,5.69,122.3,74.21,1.71,156.51,3.73,24.6,159.62,33.65,0,7.12,54.73,11.51,10.73,18.48,18.97,0,999.86,4.31,34.9,123.65,445.92,18.54,20.45,35.97,10.96,12.17,144.76,0,0,0,0,0,18.44,2.64,20.99,121.79,30.76,0
