stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.95,331.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,144.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.37,6.25,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.08,36.1,0,0,66.19,0,0,10.79,0,8.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,58.3,21.34,0,3.4,0,1.17,0,1.75,0,0.84,0,6.9,0,0,0,17.96,0,0,8.84,63.29,9.15,0,0,0,0,1.83,0,6.21,1.78,7.64,7.23,24.89,0,0,34.35,0,0
 24-34,0,0,0.71,18.03,3.83,0,15.64,0,12.9,0,0,0,2.99,0,3.24,0,0,4.55,48.97,0,0,17.44,159.24,22.1,0,0.77,0,0,0.74,0,0,0.79,0,6.02,41.07,0,0,159.5,0,2.68
 36-46,0,0,0,29.35,12.2,0,16.12,0,13.25,0.73,5.27,0,3.08,0,1.76,2.37,0,16.21,80.19,0,0.89,13.05,160.46,25.26,0,0.67,0,0,18.97,0,6.08,0,0,0,30.65,0,0,94.7,0,2.42
 48-58,0.77,0,0,21.74,30.13,0,32.95,0,4.91,5.26,41.12,0.38,4.79,0,0,0.39,0,20.55,84.72,0,0.83,15.75,213.05,6.9,1.46,2.76,0,0,8.9,0,0,0,0,0,42.22,0,0.37,44.36,0,17.8
 60-70,0,0,0,15.49,47.59,0,55.84,1.89,10.79,12.08,37.81,0.61,4.85,0.98,0,6.73,0,14.27,146.94,0,2.98,7.07,301.55,8.66,0,2.14,0,4.4,21.8,0,0,0,2.94,0,46.16,0,4.63,44.05,2.01,12.84
 72-82,0,0,0,7.9,379.17,0,65.97,2.25,4.96,3.01,74.59,0,4.81,6.23,0,7.33,3.49,4.62,292.8,0,11.77,14.95,362.19,1.13,0,4.64,0,2.81,7.05,0,0,0,0,0,42.7,0,5.32,93.68,8.46,28.17
 84-94,0,0,0,19.73,394.24,0,74.54,2.56,13.66,7.59,63.4,1.67,2.28,0.6,18.08,38.29,0,17.51,237.04,0,4.21,1.31,244.35,1.92,1.32,1,0,0.6,13.79,0,0,0,1.3,0,28.2,0.61,3.15,97.92,3.86,18.2
 96-106,0,0,0,24,527.29,1.14,72.52,4.97,18.56,3.4,103.71,1.8,2.3,3.53,0,39.85,0,0.71,217.12,1.23,17.7,11.95,254.2,4.4,1.45,2.4,0,1.05,11.59,0,0,0,0,0,21.08,1.87,6.34,87.06,9.35,9.61
108-118,0,0,0.93,29.22,249.61,0,85.81,6.96,16.82,7.94,140.14,3.08,3.47,1.97,2.54,79.63,0,10.89,212.05,0,9.27,4.99,292.66,6.45,0,2.79,0,11.08,11.2,0,0,0.44,0,0,7.89,5.59,5.95,77.33,5.33,14.73
120,0,0,0,39.48,329.54,2.35,81.12,9.05,15.44,5.38,237.13,2.47,6.8,8.5,3.56,42.97,0,5.35,387.72,2.21,33.15,9.09,732.59,10.12,16.61,0,0,0,13.52,0,0,0,0,0,27.78,5.08,19.07,70.46,18.07,19.91
