stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,228.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.89,0,0,0,0
  5-6,61.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.63,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.96,0,0,0,10.56,62.76,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,23.79,0,0,0,0
 14-21,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,178.48,2.48,0,0,0
 24-34,0,3.47,0,0.9,0.71,0,0,0,0,0,0.7,0,0,0,2.43,0.76,36.97,0,0,0,0,375.05,0.97,0,0,0
 36-46,0,0.68,0,7.37,0,0,0,0,0,0,0,0,0,0.58,8.81,0,29.12,0,0,0,0,521.52,1.26,0,0,0
 48-58,0,1.69,0.41,7.27,0,0,0.48,0.44,0,0.97,0,0,0,2.51,3.89,0,33.44,0,0,0,0,391.58,5.61,0,0,0
 60-70,0,1.06,0,7.62,5.93,0,0.79,0,0,0,1.74,0,0,0,6.75,0,42.15,0,0,0,0,409.99,12.39,0,0,0
 72-82,0,14.75,3.97,1.35,1.43,0,4.06,0,0.89,0,0,0,0,3.05,0,0,43.02,6.21,0.58,1.12,0,282.27,14.39,0,1.1,8.15
 84-94,0,32.01,4.14,12.82,7.37,0,2.54,0,0,0,8.06,0,0,2.31,4.42,1.33,39.63,0,0.71,0,0,1144.5,21.27,0,0,0
 96-106,0,35.15,3.49,18.01,9.34,8.48,7.87,3.6,0,0,8.27,1.01,0,2.47,9.09,0,48.07,2.06,2.29,1.23,0,1038.03,5.85,1.64,0.56,0
108-118,0,40.38,1.77,2.46,23.98,0,1.05,3.44,0,1.01,15.22,0,0.55,2.68,4.7,2.1,54.82,0,1.06,0,0,771.17,1.9,0,0.72,0
120,0,88.26,0,0,20.54,0,12.82,1.33,0,2.22,8.41,0,1.5,0,4.79,0,33.69,0,2.97,0,0,504.24,8.59,0,0,0
