stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.12,117.8,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,90.76,0,0,0,70.86,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.36,51.74,35.04,0,0,0,0,0,0,0,0,0,26.71,0,0,0,0,0,0,0,0,0,0,171.97,32.57,0,0,678.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,70.79,61.93,0,69.47,0,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793.95,137.17,0,0,1100.86,0,3.1,0,372.57,0,12.41,10.18,0,0,0,0,0
 14-21,0,0,1.87,61.3,144.74,0,42.92,0,9.58,0,0.89,0,0,10.14,0,0,0,0,12.46,194.44,0.86,0,173.99,253.08,19.03,0,0,39.82,0,0,78.66,0.9,17.83,155.72,94.48,0,0,8.84,0,14.52
 24-34,0,0,0,99.05,24.78,0,88.26,9.69,85.44,20.22,0.94,0,0,18.6,0.71,2.86,6.84,0.79,30.61,351.21,2.7,0,235.47,424.66,17.78,2.13,2.61,10.77,0,0,3.79,0,55.6,85.36,45.69,0,0,57.52,0,92.21
 36-46,0,0,0,16.23,0.58,0,81.18,37.2,98.78,49.83,30.62,0.97,0,5.43,0,0.89,7.84,0,73.3,432.42,0,4.24,190.76,249.55,4.09,0,3.08,0,0,4.22,1.63,1.06,51.39,3.31,54.88,0,0,17.22,0,169.59
 48-58,0.58,0,0,19.04,0,0,117.38,35.05,128.5,105.99,54.07,0,0,4.03,0,0,5.51,0,46.79,519.08,2.38,12.65,113.29,241.09,2.34,0,4.24,0,4.66,5.33,0,0,53.18,0,26.31,0,4.24,13.53,1.9,238.83
 60-70,0,0,0,23.17,0,0,121.25,51.22,107.07,91.05,90.09,0,0,9.62,0,0,0.63,5.95,37.26,765.1,0,63.19,125.82,207.75,2.58,2.58,0,0,23.41,6.07,0,0,16.42,0,16.38,0,29.02,6.94,17.41,335.46
 72-82,0,0,0,6.94,1.08,1.22,59.07,46.3,49.8,106.55,67.71,1.81,0,3.19,2.51,0,18.13,1.19,27.5,837.51,0,54.22,101.35,166.43,0,3.73,0,0,20.49,9.11,0,0,13.42,0,12.56,1.58,28.63,14.98,36.53,236.95
 84-94,0,0,0,22.49,2.44,0,99.39,50.72,100.53,80.22,40.75,0.57,0,22.49,3.57,0.86,37.54,0,61.17,632.42,0,60.23,71.98,94.77,0,0,0,0,11.34,21.29,0,0,12.66,0,7.29,0.83,32.79,23.25,48.36,191.44
 96-106,0,0,0,15.39,2.99,0,58.18,37.37,72.56,62.06,90.47,0.93,0,13.34,0,0,33.17,0,40.24,522.53,3.92,48.42,68.55,85.59,0.58,0,0.64,0,42.64,9.18,0,0,23.65,0,11.36,0,17.22,13.45,37.22,231.65
108-118,0,0,0,26.41,0.51,0.44,66.14,31.94,81.2,79.68,63.82,0.85,0,3.07,0.56,1.06,62.36,1.13,58.31,604.27,0.47,17.06,54.47,123.75,0.69,0,6.27,0,56.17,8.93,0,0,17.57,0,0.42,0.55,12.85,9.9,49.16,176.69
120,0,0,0,55.76,4.03,0,52.07,43.28,46.51,25.72,16.08,0,0,2.18,0,0,45.13,8.08,7.77,411.9,2.59,34.08,32.58,78.9,0,0,0,0,71.23,14.94,1.12,0,5.86,0,1.34,0,18.35,13.05,85.78,100.18
