stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.63,22.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.18,4.58,0,0,31.42,0,0,6.03,0,0,0,0,0,0,0,0,0
 10-12,0,11.96,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.99,0,0,0,34.81,0,0,5.47,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,3.35,1.83,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.8,1.73,0,0,0,0,1.25,0,0,0,3.5,129.8,0,0,2.47,0,0
 24-34,0,0,2.11,4.21,0,12.88,0,0,0,1.99,0,0,0,0.59,0,0,0,8.38,0,0,2.7,1337.13,5.54,13.9,0,0,0,8.91,0,0,0.88,0,347.81,0,0,0.93,0,0
 36-46,0,0,0,1.89,0,83.36,0,0,0,11.69,0,0,0,0,0,0,0,6.2,0,0,0.69,2570.75,0,8.95,12.71,0,0,1.16,0,0,0,0,459.71,0,0,0,0,0
 48-58,0,0,0,12.65,0,432.33,0,6.07,3.45,70.63,0,0.38,0,18.96,6.72,0,1.08,23.09,0,0,3.39,3663.41,1.01,3.51,0,0,0.56,11.27,0,0,1.3,0,476.59,0,0,6.74,0,16.35
 60-70,0,0,0,11.27,0,480.33,0,1.01,0,74.77,1.48,0,0,1.42,0,1.02,0,24.25,2.49,0,11.67,3647.3,1.73,3.62,2.12,0,0,6.92,0,0,0,0,285.96,0,2.63,0.75,0.89,17.91
 72-82,0,0,1.26,9.51,0.58,418.39,0,2.19,0,53.32,0,0,0,0,0,0,1.61,42.14,0.92,0,5.72,2889.2,0.56,5.36,0,0,0,2.11,0,0.73,0,0,157.89,2.31,0,6.24,0,8.92
 84-94,0,0,3.66,10.08,5.74,317.03,19.28,0,0,44.25,0,0,2.33,0,2.01,0,0,31.24,0.89,0,0,1720.68,0,0.6,0,0,0,8.16,0,0,0,0,104.98,0,0.88,18.5,5.05,5.88
 96-106,0,0,4.38,7.81,27.83,234.27,0,0,0.82,43.13,5.02,0,0.77,1.87,3.4,0.83,2.64,41.75,0,0.62,0.93,1529.13,0,5.11,2.84,0,1.6,22.86,0,0,0,0,63.28,2.74,2.26,0,0.91,0
108-118,0,0,0.8,11.6,4.71,132.54,0,0.66,0,37.08,1.61,0,0,0.42,0,0,3.69,13.26,1.62,0,0,1758.58,0,4.35,2.47,0,2.06,8.26,0,1.15,0,0,25.65,0,0,4.96,0.79,0
120,0,0,0,11.86,2.17,189.03,0,1.21,0,53.37,1.78,0,0,0,0,0,0,47.32,0,0,0,2297.86,0,2.15,0,0,0,0,0,0,1.63,0,30.5,0,0,0,0,0
