stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,2.22,1.04,0,0,0,0,0,0,0,0,0,3.36,1.88,0,1.52,0,0.83,0.98,0
 24-34,0.71,1.99,0,0,3.22,0,0,0,0,1.51,2.68,11.23,0.69,0,1.64,0,0.99,2.01,0
 36-46,0,3.42,0,0.78,1.16,0,0,0,0,2.97,0,4.15,0,0,0,0,0,3.64,0
 48-58,1.46,3.94,0,0,2.42,0,0,0,0,2.36,0,7.76,0,0,0.44,0,0,0,0
 60-70,1.05,5.03,1.77,0,0,0,0,0,1.33,0.89,0,2.84,0,0,0,0,0,1.4,0.72
 72-82,3.89,3.12,0,1.2,3.03,0,0,0,0,2.52,0.71,4.23,0,0.55,0,0,0,0,0
 84-94,0,9.6,0,0,4.34,0.63,1.33,0,0.57,3.97,0,0.7,0,0,3.38,0,0,0,0
 96-106,0,1.65,0,1.53,1.95,0,0,1.08,0,0,1.31,1.46,0,0.8,0,0,0,0,0
108-118,1.83,0.93,0,0,5.02,0,0,0,0,9.67,0.59,5.1,0,0,1.5,1.21,0,0,0
120,0,1.43,0,0,0,0,0,0,0,0,1.81,1.52,0,0,0,0,0,0,16.39
