stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,neural,otic,periderm,pgc,slow_muscle,somites,spinal_cord,xanthophores
 14-21,0,0.96,0.92,0,0,0,3.29,0,0,0,1.65,0,0,1.15,7.92,0.88,0
 24-34,0,0,1.63,0,0,0,0,0,0,9.17,0.61,0,0,0,2.6,2.67,0
 36-46,0,0,0,0,0,0,0,0,0,22.24,0,0,0,0,0,2.73,0
 48-58,0,0,0,0,18.48,0.63,0,0,0.42,18.19,0.45,0,0,0,0,0.62,0
 60-70,0,0,0,0,76.66,0,0,0,7.14,39.84,0,0,0,0,0,0,0
 72-82,1.21,0,1,0.81,87.05,0.98,0,0,1.9,46.46,2.74,0,0,0,0,0,6.66
 84-94,0,0,0.56,0.65,79.66,4.78,0,0,0.66,28.92,0,0,0,0,0,0.94,0
 96-106,0,0,0,0,73.18,5.7,0,4.97,2.57,35.05,0,0,3.82,0,0,0,0
108-118,0,0,0.84,0,63.68,0,0,0,1.06,28.27,0,2.68,0,0,0,4.82,0
120,0,0,5.24,0,66.39,0,0,0,3.11,41.03,0,0,0,0,0,0,0
