stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
  5-6,6.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.81,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,6.59,0,0,0,0,0
 14-21,0,0,1.22,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0.81,0,0,8.35
 24-34,0,0,0,0,0.68,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0.92,55.78
 36-46,0,0,0,0,0,0.79,0,0,7.21,0,1.16,1.76,14.4,0,0,0,0,0,7.37,0,18.37
 48-58,0,0,3.01,0,0,0,0,0,0,0,2.4,0,0.85,0.62,0,0,0,0,0,0,86.58
 60-70,0,0.75,6.33,0,0,0,0,0,0,0,22.88,0.58,0,0,0,0,0,0,0,0,149.21
 72-82,0,0,3.93,0.58,0,0,0,0,0,2.19,9.46,0,0,0,0,0,0,0,0,0,46.66
 84-94,0,0,5.2,0,0,0,0,0,0,3.29,26.96,0,0,0,0,0,3.9,0,1.21,0,41.34
 96-106,0,0,1.82,0,0,2.84,0,0,0,0,13.27,0,0,0,0,0,0,0,0,0,22.87
108-118,0,0,3.68,0,0,0,1.86,0.74,0,0,10.04,0,0,0,0,0,0.54,0,0,1.8,18.97
120,0,0,12.03,0,0,0,0,9.08,0,0,22.3,1.59,0,0,3.45,0,0,0,1.58,0,18.21
