stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  3-4,46.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.72,0,0,0,0,0,0,0,0,222.64,0,0
  7-9,0,0,0,0,0,0,0,8.01,16.96,20.48,0,0
 10-12,0,9.75,0,0,0,0,0,47.73,0,0,0,0
 14-21,0,0,0,0,0,0.89,0,3.04,0,0,0,0
 24-34,0,0,0.9,0,1.21,0,0,3.64,0,1.76,0,0
 36-46,0,0,0,0.85,0,0.76,0,2.16,0,1.46,0,0
 48-58,0,0,0,0,0,0.59,0.57,2.17,0,0,0,0
 60-70,0,0,0,0,0,1.13,0,0.77,0,0.85,0,1.25
 72-82,0,0,0,1,1.03,2.23,0,1.65,0,3.19,1.28,0
 84-94,0,0,0,0,0,0.79,0,0,0,0,0,0
 96-106,0,0,0.6,0,0,1.74,0.83,3.88,0,7.59,0,0
108-118,0,0,0,0,0,2.56,0,1.96,0,6.56,0,0
120,0,0,0,0,0,0,0,11.49,0,26.17,0,0
