stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,103.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.26,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.35,18.06,0,0,362.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.89,0,120.94,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.09,70.04,0,0,1748.59,0,0,3.03,0,43.4,0,32.18,26.2,0,0,0,0,0
 14-21,0,0,0,1.09,35.38,33.03,39.84,0,0,0,25.71,5.31,2.15,0,1.18,0,0,0,0,159.13,0,0,356.05,336.12,156.47,0,1.69,169.47,0,0,0,246.87,7.3,13.88,675.08,445.28,0,0,44.7,0,0
 24-34,0,0.83,0,0,24.2,9.41,144.61,0,0,3.65,5.57,0,22.34,0,0,0.83,0,0,5.87,738.65,0,0.69,377.87,544.38,29.71,1.58,4.46,1,0,2.11,0,3.18,1.69,0,100.34,143.97,0,0,200.66,0,0.63
 36-46,0,0,0,0,16.61,0.76,93.56,0,16.13,36.25,15.21,0.61,12.63,0,0,1.43,0,0,3.56,1218.71,0,11.11,382.29,498.35,4.94,0,16.32,0,0,7.42,0,0,0,0,0,90.18,0,3.66,129.64,1.55,0
 48-58,0,0,0,0,8.78,0,74.86,0,15.43,81.54,32.55,0,6.97,0,0,0.92,0,2.05,0,1421.33,0.74,28.04,331.58,318.28,0.46,0,10.47,0,1.11,10.19,0,0,0.37,0,0,70.85,0,2.81,41.25,0,1.61
 60-70,0.81,0,0,0,16.1,0,85.36,0,8.03,71.89,53.05,0,3.09,0,0,0,0,2.4,0,1784.33,0,38.24,205.54,126.27,0,0,6.9,0,13.1,3.59,0,0,0,0,0,34.66,0,8.73,10.73,2.32,0
 72-82,0,0,0.97,0,10.11,5.41,102.49,0.65,2.77,98.29,44.04,1.05,4.23,0,0,0,0,0,0,1948,0,24.86,230.99,144.89,0,0.93,5.31,0,11.83,5.86,0,0,0,0,0,5.08,0,26.18,51.39,16.57,0
 84-94,0,0,0.84,0,6.93,0,146.27,7.04,0.91,61.96,29.56,0.72,7.35,6.19,0,0,0,0,8.01,1932.22,0,48.3,188.87,99.68,0.62,0,9.22,0,14.35,5.23,0,0,2.86,0,0,8.62,0,12.49,36.48,18.39,0.69
 96-106,0,0,2.63,0,6.19,4.97,91.62,0,2.08,72.41,21.81,1.72,0,0,0.81,0.77,0,7.43,7.05,1528.57,0,12.53,114.11,135.96,0,1.63,10.9,0,38.2,2.21,0,0,4.13,0,0,1.13,0,16.44,27.12,17.83,0.91
108-118,0,0,1.02,0,3.39,0,75.29,0,2.57,89.75,33.84,0,0.71,0.53,0,0.56,0.57,0,0,1537.04,1.14,38.15,128.98,101.13,0,0,5.95,0,29.24,0,0,0,2.12,0.66,0,0.69,0.5,8.48,21.17,8.64,3.9
120,0,0,0,0,6.99,0,123.69,0,2.56,70.45,108.06,0,7.33,1.89,0,2.12,0,0,1.51,1511.4,0,36.59,128.1,168.05,0,0,6.02,0,46.52,1.55,0,0,0,0,0,0,0,31.02,24.82,6.92,0
