stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.92,0,0,0,0,0,0,0,0,0,12.79,0,0,5.98,0,0,0,0,0
 10-12,0,0,8.99,0,0,0,0,0,0,0,0,0,106.24,0,0,0,0,0,0,0,0
 14-21,0,0.86,4.48,0,3.91,0,0,0,0,1.6,0,0,751.51,0,0,1.18,0,0,148.22,0,0
 24-34,0.83,1.52,80.81,0.6,10.79,2.95,0,0,0,6.19,0,2.76,2386.51,0,1.04,0,1.55,0.69,404.65,0,0
 36-46,0,0,214.32,0,38.25,0,0.56,0,0,0.66,0,0.72,2248.62,3.13,0,0,1.85,0,396.61,1.13,0
 48-58,0,0,395.61,0,25.17,0,0,0.38,0,10.5,0,0,507.36,0.43,0,0,0.62,0,137.48,0,0.4
 60-70,0,0,476.31,0,3.88,0,0,0,0,1.11,0,0,152.42,0,0,0,8.48,0,24.1,0,0
 72-82,0,0,142.99,0,3.53,0,0,0,0,1.9,0,0,63.86,1.07,0,0,0,0,3.97,0,0
 84-94,0,0,87.24,0,6.04,0,0,0,0,0.77,8.76,0,51.74,0,0,0,0,0,0,0,0
 96-106,0,0,116.99,0,1.69,0,0,0,0,0.76,0,0,44.22,0,0,0,0,0,0,0,0
108-118,0,0,87.96,0,2.84,0,0,0,0.87,0,0,0,52.51,0,0,0,0,0,0,0,0
120,0,0,47.16,0,1.61,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
