stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
 14-21,0,5.36,0,1.91,0,0,1.31,0,0.92,0,1.92,0,42.46,2.47,0,0,1.88,3.82,0.82,10.12,0
 24-34,0,2.64,0,0,0,0,0,0,0,0,5.1,0,13.84,0,0,0,0,0,0,2.03,0
 36-46,0,0.61,0,0,0,0,0,0,0,0,3.58,1.29,17.89,0,0,0,1.49,0,0,5.13,0
 48-58,0,0,0,1.97,0,0,0.94,0,0,0,1.04,0,9.18,0,1.16,0,2.36,0,0,3.52,0
 60-70,0,3.37,0.56,2.89,0.68,0,0,0.61,0,0,5.26,0,12.24,0,0,0,1.13,0,0,5.36,0
 72-82,0,0,0,10.23,0,0,0,0,0,0,4.77,0,4.98,0,0,0,0.56,0,0,0,8.54
 84-94,0.7,0,0,0.71,0,0.8,0,0,0,0,3.01,0.6,5.05,1.37,0,0,4.84,0,0,14.33,0
 96-106,0,1.38,0,11.86,0.64,0,0.87,0,0.92,0.59,6.48,0,1.69,0,1.65,0.65,5.92,0,0,4.12,0
108-118,0,1,0.99,1.68,0,1.14,0,0,0,0,4.1,0,9.88,0,0,0,1.44,0,0,0,0
120,0,1.18,0,0,0,0,0,0,0,0,0,1.13,8.7,0,0,0,2.45,0,0,0,0
