stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.06,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,8.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,27.52,0,8.48,0,8.74,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,1.8,0.91,0,0,2.79,0,11.3,0,0,0,0
 24-34,0,0,0.61,0,0,0,0.72,0,0,0,0,0,0,0,0,0,12.87,0.9,0,0.97,0,24.76,0,0,0,0
 36-46,0,0,0,0,9.53,0,0,3.2,0,0,0,0,0,0.67,0,1.74,7.3,0,0,0,0,60.45,0,0,0,0
 48-58,0,0,0,0,12.41,0,0,0.38,0,0,0,0,0.38,0.91,0.64,0,33.65,0,0,0,0,21.89,0,0,0,0
 60-70,0,0,0,0,16.1,0,0.87,2.43,0,0.6,0,0,0,1.62,0,0,49.85,0,0,0,0,14.44,0,0,0,0
 72-82,0,0,0,0,49.37,0,2.98,1.5,0,1.06,0,4.26,0.67,0,0,1.93,53.93,0,0,0.8,0,18.64,0.51,0,0,0
 84-94,0,0,0,0,39.83,0.57,1.19,3.04,0,0,0,0,0,5.73,0,0,63.38,0,0,2.16,0,12.75,0,0,0,0
 96-106,0,0,0,0,51.77,0,1.66,4.87,0,0,0,0,1.71,5.01,0,0,62.95,0,0,0,0,6.68,0,1.66,2.81,0
108-118,0,0,0,0,41.59,0,0,0.98,0,0,0.55,0,0.43,0,0,0,47.8,0.48,0,0.69,0,0,0,1.17,0,2.03
120,0,0,0,1.21,7.99,0,0,0,0,0,0,0,0,0,0,3,101.25,0,0,1.41,0,7.84,0,0,0,0
