stage,neural,olfactory,paraxial_mesoderm,spinal_cord
  7-9,6.81,0,3.27,0
 14-21,1.21,0,0,0.9
 36-46,1.05,0.89,0,0
 72-82,2.93,0,0,0
 96-106,2.27,0,0,0
