stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,326.8,6462.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.87,0,0,0,0,0,0,0,0,0,0,0
  5-6,236.49,4706.17,0,10.49,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,158.46,27.88,0,0,24.42,0,23.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.96,31.71,0,39.72,0,0,0,48,0,0,0,0,0,15.26,0,0,0,0,0,0,0,0,0,710.43,28.17,0,0,252.86,0,0,25.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.02,0,15.47,0,17.98,0,26.73,0,0,0,0,0,17.98,0,0,0,0,0,0,0,0,0,297.42,7.89,0,0,143.24,0,0,6.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.51,1.07,0,6.11,0,0,0,10.19,0.82,1.41,0,0,0,0,0,1.25,0,0,1.63,49.19,2.19,0,0,0,0,0,0,25.92,0,0,13.87,76.37,0,0,0,0,0
 24-34,0,0,6.31,0,1.16,0.96,0,40.38,0,0,0,10.59,0.69,0,0,1.27,1.68,0,2.41,8.37,0,0,2.31,163.97,0.7,1.71,0,0,0,0,0,0,0,0,5.47,87.91,0,0,1.29,0,2.72
 36-46,0,0,3.67,0,1.17,1.27,0,81.93,0,1.39,0.61,4.38,0,0,0,1.71,0,0,1.29,8.56,3.63,0,2.62,328.68,0,0,3.94,0,0,0,0,0,2.05,0,0,52.84,0,0,11.08,0,0.71
 48-58,0,0,0.41,0,2.68,0,0,78.65,0,0,0,16.42,4.16,2.06,2.9,3.77,0.37,0,0,6.98,4.01,0.39,7.52,230.98,0,0,0,0,0.47,0.6,0,0,0.61,0.76,0,43.51,0,1.39,8.77,0,0
 60-70,0,0,8.27,0,9.73,2.66,0,95.3,0,0,4.03,30.57,3.83,0,2.9,6.07,0,0,0,37.91,8.39,0.63,1.35,243.12,0,2,0,0,1.84,4.29,0,0,9.83,0,0,34.73,0,2.74,17.07,0,0
 72-82,0,0,13.46,0,2.08,21.35,0,75.26,0,0,0,34.05,2.01,0.51,1.72,2.73,0,0,0,29.16,6.32,0.98,1.19,128.51,0,0.53,0,0,0,0,0,0,0,0,0,34.05,0,1.49,17.89,1.95,1.87
 84-94,0,0,15.61,0,2.18,6.69,0,116.32,1.34,0,2.75,16.74,7.88,0.71,0,12.79,0,0,0,34,11.36,19.15,5.18,128.26,0,0,0,0,1.49,0,0,0,0.75,0,0,26.7,0,2.05,23.05,1.66,0
 96-106,0,0,14.86,0,0,29.1,0,83.88,0,0,0,14.13,10.1,0,3.02,7.28,0.56,0,0,24.04,26.27,2.4,2.87,72.85,0,0,0,0,1.54,8.27,0,0,0,0,0,23.99,0,4.28,15.72,10.82,0
108-118,0,0,3.91,0,2.53,6.02,0.46,99.99,0,0.55,2.17,20.18,23.72,0,1.39,5.5,0.81,0.87,0,25,26.27,0,0.99,111.96,0,0,1.43,0,0,0,0,0,0,0,0,16.3,1.01,1.68,7.88,2.29,0
120,0,0,46.26,0,6.63,0,0,47.31,5.69,0,2.59,11.63,35.37,0,0,5.11,1.29,0,2.7,17.96,1.1,0,0,141.74,0,0,3.28,0,0,0,0,0,0,0,0,29.14,0,0,5.26,5.91,0
