stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,137.67,2495.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.06,0,0,0,0,0,0,0,0,0
  5-6,37.62,1137.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.76,0,0,0,17.6,0,37.21,0,0,0,0,0,0,0,0,0
  7-9,9.69,63.89,100.66,0,0,0,191.5,0,0,0,0,0,43.47,0,0,0,0,0,0,0,0,0,0,0,1482.26,32.43,0,0,396.41,0,0,35.58,0,0,0,0,0,0,0,0
 10-12,0,56.72,106.41,0,18.89,0,223.03,0,0,0,0,0,30.27,0,0,0,0,0,0,0,0,0,0,0,2422.84,27.19,0,0,635.76,0,0,44.15,0,55.76,9.76,8.83,0,0,0,0
 14-21,0,0,7.06,47.89,14.24,0,40.32,0,0,0,16.6,3.05,0,1.07,0.82,0,0,0,0,0,36.77,0,0,30.62,735.98,20.68,1.8,3.04,13.78,0,14.24,1.77,29.96,1.45,20.52,162.4,0,0,4.03,0
 24-34,0,0,0,21.91,8.37,0,224.34,0,0,0.63,18.61,1.69,0,3.65,0,2.58,0,1.71,0,0,122.43,0,0.89,38.04,1426.07,6.88,3.22,7.21,0,0,40.73,0.86,1.03,0.76,4.32,242.99,0,0,22.51,1.04
 36-46,0,0,0,9.48,1.45,0,339.99,0,7.36,0,33.43,0.72,0,0,1.63,1.03,0,0,1.78,0,85.74,1.14,1.69,22.71,732.77,0.64,2.19,0.68,0,0,14.57,0,0,0,0,123.32,0,0,17,10.9
 48-58,0,0,0,25.48,0,0,398.83,0.97,0,0.43,42.34,0,0,1.53,9.28,0,0.89,0.42,1.45,1.01,92.61,0.39,8.74,27.81,370.45,1.51,0.4,0.92,0,0,4.35,0,0,2.13,0,47.04,0,0,9.19,6.18
 60-70,0,0,0,15.67,6.06,0,210.09,0,0,0.62,48.24,0,0,0.71,4.15,1.03,10.07,2.93,2.16,0,73.69,0.7,7,8.11,164.19,0,0,14.2,0,0.71,4.13,0,0,4.67,0,5.11,0,0,12.65,0
 72-82,0,0,0,8.82,3.67,0,87.93,0.55,0,0.49,40.43,4.39,0,1.66,4.06,1.08,0,3.82,4.63,0,68.49,0,11.45,10.79,127.42,0,0,9.81,0,0,3.68,0,0,0,0,4.1,0,0,11.49,0
 84-94,0,0,1.01,13.26,7.55,0,93.47,0,0,1.01,15.92,5.21,0,0,6.61,4.53,3.39,2.8,0,0,65.59,0,3.91,11.11,112.35,1.25,0,5.78,0,1.13,7.52,0,0,0,0,1.5,0.98,0,9.55,0
 96-106,0,0,0,17.61,5.56,0,62.85,0,0,1.95,29.47,4.52,0,0.66,5.29,0,5.36,2.51,0.76,0,38.51,1.8,2.1,5.9,87.22,0,2.67,2.44,0,0.81,2.03,0.93,0,0,0,1.78,0,0.78,11.6,0
108-118,0,0,0,12.77,3.21,0.85,49.66,0,0.57,0,31.87,1.7,0,0,6.41,0,5.76,0,0.51,0.66,40.29,2.89,3.83,7.94,136.64,0,0.47,4.93,0,0,1.42,1.18,0,1.21,0,4.89,1.83,0,2.53,0
120,0,0,0,4.5,23.73,1.71,36.62,0,0,0,31.33,7.34,0,1.15,8.07,1.4,6.25,0,0,0,52.23,0,0,12.52,136.99,0,8.55,1.81,0,0,0,0,0,0,0,1.57,0,0,33.44,0
