stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,192.08,3788.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.79,0,0,0
  5-6,37.25,590.97,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0
  7-9,7.91,0,8.42,0,3.41,0,0,0,0,0,0,0,73.76,4.5,0,0,16.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.54,0,0,0,6.73,0,0,7.35,0
 14-21,0,0,0,0.92,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.05
 24-34,0,0,0,0,0.76,0,0,0.75,0,0,0,0,0.69,0,1.14,0,0,0.83,0,2.98,0
 36-46,0,0,0,0,1.66,0,0,0,0,0,0,0.82,0,0,1.29,0,0,0,0,0,0
 48-58,0,0,0,0,0.4,0,0,0,1.59,0,0,0,1.4,0,0.84,0,0,0,0,0,0
 60-70,0,0,0,0,1.87,0.61,0,0,1.12,0,0,0,0,0,2.02,0,0,1.56,0,0,0
 72-82,0,0,0,0,4.89,0,0,1.33,0,0.75,0,0,4.45,0,2.41,0,0,0,0,0,0
 84-94,0,0,0,0.8,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.6,1.35,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.42,0.54,0.62,0.82,0,0,0,4.11,0,0,0,1.19,1.51,0,0,0,0,0
120,0,0,0,0,0,12.15,0,0,0,0,0,0,21.08,0,0,0,0,0,2.3,0,0
