stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.01,1588.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.67,748.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3,10.72,0,0,18.26,0,11.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,17.64,0,39.97,0,5.98,62.8,0,0,0,0,32.67,0,0,0,0,0,0,0,0,0,0,0,530.65,7.78,0,0,296.22,0,3.92,23.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.83,0,57.68,0,12.48,43.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.11,0,0,0,189.81,0,0,9.63,0,21.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,40.75,19.08,7.62,0,0,5.96,2.62,0,0,0,1.92,0,0,6.28,3.48,32.09,0,0,13.47,198.56,5.34,0,1.09,5.98,0,17.07,0,34.01,0,9.91,30.81,45.82,0,0,11.53,0,3.3
 24-34,0.88,0,0,1.21,5.04,1.43,29.74,0,0,1.42,0,0,1.36,9.49,1.43,3.93,0,0,1.59,17.9,0,0,6.97,178.54,4.29,0,1.49,0,0,9.19,0,0,0,0,0.63,30.16,0,0,23.45,0,0.62
 36-46,0,0,0,0,14.47,0,46.69,0,0,3.19,1.67,0,0,6.13,0,1.4,0,0.57,1.29,31.25,0,0,8.53,87.2,0,0.63,0,0,0,9.05,0,0,0.86,0,0,7.4,0,0,36.02,0,16.5
 48-58,0,0,0,0,0,0,30.28,0,6.67,3.81,0,0,1.12,4.03,0,0.4,0.39,0,4.5,21.42,0.63,0.46,5.41,32.02,0,0,0,0,0,9.38,0.65,0,0,0.46,0,2.05,0,0,6.67,0,7.91
 60-70,0,0,0,0,3.57,1.26,32.66,1.31,0,5.7,0,0,0,10.22,5.18,9.84,0,0,0,15.85,0,0,1.62,30.06,0,0,0,0,0,4.33,0,0,0,0,0,5.36,0,2.97,17.94,0,0
 72-82,0,0,0,0,2.57,7.17,20.92,0,0,10.14,0.49,0,3.14,8.16,0.61,0.52,1.35,1.54,0,17.72,0,1.43,2.37,33.78,0,0,0.81,0,0,1.77,0,0,0,0,0,4.57,0.68,0.94,13.01,0,0.99
 84-94,0,0,0,0,2.4,1.86,36.06,0,1.31,7.97,1.58,0,0.85,18,1.32,2.43,0,0,2.16,37.41,0,1.82,0,23.47,0,0,3.98,0,0,15.28,0,0,0.67,0,0,5.39,4.03,0,9.95,1.66,9.26
 96-106,0,0,0,0,9.72,11.28,49.85,1.26,0,11.25,4.72,0,1.46,18.6,0.83,3.54,1.33,6.64,1.03,37.76,5.1,0.94,0.71,32.21,0,0,0,0,2.93,15.6,2.06,0,1.09,0,0,3.35,3.71,0,24.92,0,6.01
108-118,0,0,0.6,0,10.96,16.89,73.46,1.72,0.7,12.66,2.56,0,1.7,17.55,0.54,6.42,0,1.54,0,47.25,0,0,0.49,46.93,1.51,0.8,0.51,0,2.43,13.78,0,0,0,0,0,5.28,0.48,0.92,12.06,0,19.44
120,0,0,0,0,4.25,20.92,28.52,2.34,1.6,19.38,0,0,5.73,6.21,0,8.5,0,0,0,19.36,0,0,2.93,56.41,0,0,0,0,0,22.18,0,0,0,0,0,0,0,3.74,54.33,3.79,3.58
