stage,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,3.53,0,0,0,4.35,0,0,0
 14-21,0.9,0.96,0.81,0,0,0,5.68,0.91,0,0,0,2.74,0,0
 24-34,0,0,0,0,0,0,1.85,0,0,1.15,0,0,0,0
 36-46,0,0.88,0,1.29,0,0,4.06,0,0,0,0,1.89,0,0
 48-58,0,0,0,0,1.14,0.43,2.84,0,0,0,0,0.95,0,0
 60-70,0,0,0,8.36,0.58,0,8.73,0,0,2.62,0,0,0,0
 72-82,0,0,0,2.39,1.05,0,17.34,0,0,0,0,0,0.72,0
 84-94,0,0,0,10.95,0,1.13,3.54,0,0,10.26,0,0,0,2.36
 96-106,0,0,0,0,0,0,0,0,1.93,6.02,0,0,0,0
108-118,0,0,0,1.18,0,1.32,4.69,0,0,0.7,0,0,0,0
120,0,0,0,11.87,0,10.29,15.41,0,0,5.37,0,0,0,0
