stage,eye,fin_epithelia,glial,melanocytes,mesenchyme,mural_cell,neural
 72-82,0,0,1.44,0,0,1.19,2.3
 84-94,0,0,0,0,0.74,0,4.68
 96-106,0,0,0,0,0,0,2.41
108-118,0,0,0,0.53,1.04,0,10.7
120,8.01,1.31,0,0,0,0,23.75
