stage,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,6.82,4.7,0,0
 14-21,0,0,0,0,0,0,0,0,0.91,0
 24-34,0,0,0,0,0.77,0,7.07,0,0.71,0
 36-46,0.7,0.82,1.89,0,0,0,31.57,0,2.46,0
 48-58,0.85,11.12,1.14,0,0.99,0,48.43,0,1.53,0.4
 60-70,0,41.49,0.81,0,0.98,0,54.09,0,11.44,0
 72-82,0,26.69,0.74,0,0,0,33.64,0,0,0
 84-94,2.08,16.8,0,0,3.04,0,36.8,0,0,0
 96-106,0,6.08,0.72,1.2,0,1.06,6.5,0,0,0
108-118,0,23.3,1.38,0,0,0,26.13,0,0,0
120,0,4.76,16.39,0,2.34,0,30.41,0,0,0
