stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,97.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,7.12,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.79,18.91,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.95,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,111.92,0,0,0,20.43,0,6.56,0,8.91,0,0,0,0,0,0,0
 14-21,0,0,0,18.56,0.84,1.07,0,0,3.71,0,0,0,0,0,0,0,2.58,0,8.19,55.36,0,0,0,0,1.07,0,4.98,0,0,1.86,10.66,0,0.9,0,0
 24-34,0,0,0,10.65,0,5.75,0,0,10.73,0,0,0,0,0,0,0.65,22.28,0,12.43,131.02,6.95,0,0.69,0,3.35,0,0,0,0,0.62,44.51,0,0.62,0,0
 36-46,0,0,0,12.09,0,11.51,0,0.93,5.18,0,0,0,0,0,0,0,14.6,0.89,5.6,62.13,2.64,0,0.57,0,1.39,0,0,0.6,0,0,40.79,0,0,0,0
 48-58,0,0,0,12.16,0.41,24.27,1.3,0.43,11.24,0,0.38,0,0,0.8,0,0,24.95,0,0.94,69.74,0,0.37,3.26,0,1.65,0,0,0,1.3,0,29.22,0,0,0,0
 60-70,0,0,0,12.44,0,28.08,0,1.97,6.62,0,0,0,0.78,0,2.6,0,47.19,0.68,3.05,54.59,0,0,3.51,0,3.31,0,0,0,0,0,21.45,0,0,0,7.47
 72-82,0,0,0,5.78,0.51,16.44,1.43,3.04,5.61,0,5.4,0,0,1.52,0,0,15.35,0,1.29,30.87,0,0,7.03,0,1.37,0,0,0,0,0,4.54,0,0,0,3.69
 84-94,0,0,0,13.08,0,16.06,1.59,0,6.21,0.94,0,0.62,0,0,0,0,30.32,2.05,3.87,18.48,0,0,0.79,0,0.89,0,0,0,0,0,1.5,0,0,0,0
 96-106,0,0,0,1.71,0,25.64,0.58,1.7,1.68,1.05,0,0,0,0.68,1.19,0,27.51,2.29,0,19.08,0,0,0.61,0,10.2,0,0,0,0,0,0,0.81,0,0.86,0.66
108-118,0,0,0,8.43,0,36.33,3.05,0,4.45,0.54,0,0,0,0,0,0.47,23.51,1.38,0.77,20.2,0,1.02,6.84,0,1.09,0,0,2.51,0,0,0,0,0,0,0
120,0,0,0,12.39,0,33.85,6.8,0,9.15,1.09,3.24,1.17,0,0,10.3,0,25.73,5.78,0,60.42,0,5.76,1.86,0,1.25,0,0,0,1.21,0,0,0,0,0,0
