stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,10.89,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,18.43,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,1.93,0,0,0,0.85,1.62,0.81,0,0,0
 24-34,0,0,1.79,0,0,0,0,0,0,0,0,0,0,1.53,5.49,3.35,0,0,0,0,0,0,0,0.87,0,0
 36-46,0,0,0.88,0,0,0,7.62,0,0,0,0,0,0,1.5,0,13.04,5.95,1.14,0,0,0,0.58,0,0.73,0,0
 48-58,0,0,5.77,0,0,0.8,2.76,0,0.47,0,0,0,0,1.82,0,15.94,0,0,0,0,0,0,0,0.65,0,0
 60-70,0,0,4.25,0,0,3.66,3.57,0,0,0,0,1.13,0,0,2.17,15.13,0,1.1,0,0,0,0,0,0,4.37,0
 72-82,0,0,1.52,0,0,19.37,6.45,0.79,2.89,0,0,0,0,2.26,0.75,17.93,0,1.65,0,1.62,0,1.85,0,1.06,0.56,0
 84-94,0,0,3.05,0,0,12.58,0,0,1.88,0,2.18,0,0,1.05,0.63,6.99,0,3.53,0.59,0,0,0,0,0,0.58,1.17
 96-106,0,0,0,0,0.59,3.19,0.62,0,0,0,3.45,1.3,0,8.22,2.64,15.9,0,5,0,0,0,0,0,0,0,0
108-118,0,0,4.91,1.46,1,16,1.78,0,2.84,0,1.72,0,0,1.78,0,9.39,1.26,0,0,0,0,0,0,0,0,0
120,0,0,3.73,0,1.06,22.91,5.45,1.39,0,0,0,0,1.33,0,6.08,18.07,0,6.21,0,0,0,0,0,0,0,0
