stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.31,0,0,0,7.27,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,0,37.58,0,0,0,0,0,0,0
 14-21,0,0,3.16,0.92,0,0,0,0,0,0,0,0,0.81,0,0,0,12.33,0,0,0,0,4.78,0,0
 24-34,0,0.66,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,129.96,8.55,0,0,0,16.12,0,0
 36-46,0,0,0,0,12.33,0,0,0,0,0,0,0,2.46,0,1.12,0.76,270.47,12.42,0,0.77,0,34.81,0,0
 48-58,0,0,0,0,74.73,0,4.53,0,0,0,0,3.22,0,0,0,0,433.72,9.81,0,0,0,44.96,0.77,0
 60-70,0,0,0.72,0,302.5,3.18,5.87,0,0,0,0,0,1.64,0,0,0,443.1,4.66,0,0,0,80.13,0,0
 72-82,0,0,2.21,0,596.83,0,26.04,0,0,0,0,0,5.34,0,0,0.66,416.55,3.37,0,0,0,39.03,0,2.53
 84-94,0,0,6.48,0,352.39,2.3,17.11,0.62,0,0,0,0,5.62,0,1.63,0.6,284.4,5.88,0,0,0,33.76,0,0
 96-106,0,0,2.17,0,460.97,0,24.79,0,0,0.61,7.08,0,12.16,3.69,0,0.86,198.63,10.69,0,0,0,18.88,2.4,0
108-118,0,0,7.18,0,310.68,0,19.73,0,0,0,0,0,2.72,1.25,0.98,0,317.45,4.54,1.47,0,1.7,3.27,0.84,0
120,0,0,1.16,0,251.16,0,33.22,0,0,0,0,0,0,0,0,0,469.17,11.01,0,0,0,0,0,4.27
