stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,26.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0
  5-6,11.51,35.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.48,0,0,0,61.71,0,4.34,0,0,0,0,0,0
 10-12,0,0,153.68,0,0,0,0,0,0,0,10.95,0,0,0,0,0,0,0,0,0,450.27,4.42,0,0,121.92,0,0,0,5.21,0,0,0,0
 14-21,0,0,0,8.15,1.44,0,0,0,254.58,0.92,0,0,0,0,0,0,0,2.61,0,0,537.29,25.36,0,0,30.96,0,0,5.73,0,0.83,3.84,2182.42,0
 24-34,0,0,0.7,0.66,0.6,3,0,0,316.45,0.75,0,2.04,0,0.71,3.74,0,0,20.85,0,0.99,550.97,0,0,0,0,0,0,0,0,0,3.75,1511.04,0.62
 36-46,0,0,0,0,0,3.65,0,0,219.74,0,0,0,0,0,0,0,0,6.92,0,2.41,337.03,0,0,1.34,0,0,20.3,0,1.06,0,0,1014.67,0
 48-58,0,0,0,2.17,0,8.1,0,0,245.44,0,0,0,0,0,0,0,2.9,9.42,0.91,0,161.14,0,1.27,0,0,0.59,0.37,0,0,0,0,785.94,2.65
 60-70,0,0,0,0,0,3.62,0.77,0.99,264,0,0,0.79,0,0,0,0.69,0,1.28,0.7,0,87.48,0,0,0,0,0,0,0,0,0,0,334.9,0
 72-82,0,0,0,0,0,11.28,0,0.64,314.58,0,0,0,2.2,0,0,0,0,2.35,0,0,34.95,0,1.07,0,0,0,0,0,0,0,0,223.94,0
 84-94,0,0,0,0,0,17.66,0,0,239.8,0,0,2.56,0,0,0,1.35,0,0,0,0,24.2,0,1.17,0,0,0,0,0,0,0,0,199.58,0
 96-106,0,0,0,0,0,12.97,0,0,244.42,0,0,0,0,0,0,1.3,0.58,3.83,0,0,15.45,0,0,0,0,0,0,0,0,0,0,203.07,0
108-118,0,0,0,0,0,6.39,0,0,269.15,0,0,0,0,0,0,0,0,4.82,0,0,12.3,0,0,0,0,0,0,0,0,0,0,134.68,0
120,1.19,0,0,7.13,10.07,4.84,1.21,0,210.65,0,0,0,5.3,0,0,0,0,3.08,0,0,28.18,0,0,0,0,0,0,0,0,0,0,177.96,0
