stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,89.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.28,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,26.67,3.25,0,0,5.37,0,0,0,0,0,0,0
 10-12,0,0,24.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,10.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,16.22,0,0,0,1.12,0,1.06,0,0.83,5.98,0,0
 24-34,0,0.71,0.6,0,0,0,3.66,0,0,0,0,0,0.68,0,0,0,1.14,48.08,0,0,0,0,2.25,0,0,0,6.9,0,0
 36-46,0,0,0,0,1.22,0,12.58,0,4.36,0,0,0,0,0,2.81,0,0,114.35,1.29,3.34,0,0,0,0,0,0,35.74,0,0
 48-58,0,0,0,0,0,0,21.63,0,5.67,0,0,0,0,1.27,1.9,0.56,0.39,71.08,0,2.06,0,0,1.88,0,0.53,0,9.57,0,0.47
 60-70,0,0,0,0,0.59,0,6.85,0,1.25,0,0,0,0,0,2.32,0,0,32.36,0,2.08,0,0,0,0,0,0,5.62,0,0
 72-82,0,0,0,1.17,0,0,22.73,0,5.81,0,0,0,0,0,3.37,0,1.96,85.86,0.53,0.7,0,0,0,0,0,0,5.17,1.34,0.5
 84-94,0,0,0,0.77,0,0,35.02,0,14.53,0.68,0,1.08,0,0,0.58,0,0,74.98,0,2.26,0,0,2.27,0,0,0,4.49,0,0
 96-106,0,0,0,2.15,0,0.92,25.99,0,4.15,1.66,0,1.28,0,0,5.82,0,1.28,65.04,0,10.81,1.68,0,0,0,0,0,3.82,0,0
108-118,0,0,0,0.47,0,0,12.57,0,0.62,1.2,0,0.96,0,0,0.52,0,0,44.09,0,0,1.37,0,0,0,0,0,0,0,0.64
120,0,0,0,0,0,0,32.15,1.72,0,0,0,0,0,0,9.54,0,0,15.77,0,0,0,0,2.6,0,0,0,3.3,0,3.45
