stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.18,3565.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,287.81,4116.44,0,27.53,0,0,0,0,0,0,0,25.08,0,0,0,0,0,0,0,0,0,0,0,195.93,8.9,0,0,38.94,0,82,0,0,0,0,0,0,0,0,0,0,0
  7-9,109.14,66.19,0,131.47,0,0,223.73,0,0,0,0,86.33,0,0,0,0,0,0,0,0,0,0,0,2088.3,99.61,0,0,795.67,0,4.35,51.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.44,0,116.08,0,13.29,272.42,0,0,0,0,20.74,0,0,0,0,0,0,0,0,0,0,0,1693.57,104.17,0,0,686.01,0,0,11.33,0,87.69,0,5.05,0,0,0,0,0,0
 14-21,0,0,1.32,3.12,26.18,4.93,11.31,0,0,11.79,2.2,0,1.34,0,0,0,0,0,0,16.79,0,0,20.91,176.77,6.43,0.98,0.81,1.69,0,0,0,23.68,0.89,2.86,26.84,75.23,0,0,2.98,0,0
 24-34,0,0,0.71,2.01,11.87,1.76,32.44,0.89,0.8,17.78,0.82,0,0,0,1.21,0,1.23,0,0,27,0,0,22.67,741.15,2.3,8.94,5.7,0,0,1.95,0,0,0,0,5.45,173.51,0,0,28,0,0.68
 36-46,0,0,1.35,0,11.17,2.05,119.36,4.45,1.19,22.54,0,0,0.79,3.12,0.58,0.65,1,0,0.61,44.29,0,0,10.9,1268.32,1.29,6.64,5.78,0,0,2.43,0,0,1.78,0,0,252.24,0,0,28.63,0,18.22
 48-58,0,0,0.67,0,7.15,0.48,218.46,1.9,2.08,59.55,0,0.57,2.11,0,0.39,0,0,4.44,1.23,62.76,1.73,3.32,11.41,1270.18,1.1,3.67,1.08,0,0.47,2.38,0,0,1.11,0,0,293.85,0,0.49,10.23,0,9.99
 60-70,0.81,0,0,0,6.94,1.74,624.45,0.81,5.6,65.66,0.63,0,0,1.4,0,0,0.72,0,0,102.19,2.85,6.08,3.19,1545.38,0.63,15.37,3.13,0,2.03,5.47,0,0,0,0,0,192.46,0,0,4.64,0.64,5.68
 72-82,0,0,1.5,0,12.67,1,631.13,0,5.91,84.7,2.71,0.59,6.32,2.88,0,2.68,3.57,1.08,9,129.96,0,3.53,9.89,1195.58,0,3.2,6.54,0,0,2.93,0,0,0.84,3.1,0,135.4,2.03,0,24.05,2.53,16.49
 84-94,0,0,2.22,0,16.39,2.24,450.5,1.54,0.87,60.41,2,0.86,10.15,0,2.27,2.02,0.69,0,10.93,100.65,1.19,7.52,20.7,883.74,0.67,4.46,11.87,0,0,15.84,0,0,0.7,0,0,59.65,0,1.66,19.13,7.13,0
 96-106,0,0,2.72,0,21.47,9.72,472.75,2.94,3.63,56.46,5.47,0,4.48,4.36,1.22,4.86,1.99,0,0,66.76,0,7.22,3.31,620.95,2.6,14.85,5.69,0,1.32,23.76,0,0,0,0,0,58.03,0,0,9.47,6.67,7.64
108-118,0,0,1.23,0,18.47,2.99,319.58,3.22,2.21,58.03,1.16,0,4.21,3.63,0.92,1.13,1.56,0,0,84.16,1.41,8.22,5.76,731.66,1.69,1.85,5.94,0,1.83,6.74,0,0,0,0,0,27.04,1.92,5.47,14.51,5.19,0
120,0,0,0,0,30.09,17.53,194.14,8.72,0,91.27,0,0,4.47,0,1.4,0,1.48,5.65,0,27.23,0,16.17,1.04,1195.75,0,12.19,0,0,0,2.75,0,0,0,0,0,35.54,0,7.08,2.48,6.79,0
