stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.77,700.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.25,426.14,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.51,12.77,0,4.59,0,0,7.29,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,110.06,8.8,0,0,55.74,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,34.22,0,0,4.98,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,2421.66,7.34,0,0,46.36,0,8.5,0,7.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.63,1844.87,0,6.1,11.73,0,0,2.15,4.05,0,24.63,0,0,0,0,2.02,7.68,0,0,17.89,51.51,0,0.81,1.03,17.77,0,1.57,1.46,0,1.51,7.55,0,0,0,0,0
 24-34,0,0,0,7.26,1155.02,0,7.35,88.91,0,0,3.06,0,0,71.91,0,5.84,0,0,4.01,23.36,0,3.2,76.69,123.5,0.71,0,0,20.51,0,0,28.53,0,0,10.31,0,0,8.57,0,1
 36-46,0,0,0,0,612.58,0,6.62,140.61,3.55,0,6.98,0,0,45.49,0,4.5,0,0,9.48,2.7,0,2.36,36.75,139.97,6.8,0.72,0,14.16,0,0,15.14,5.58,0,15.32,0,0,7.76,0,0
 48-58,0,0,0,0.51,449.28,0.43,10.88,130.21,3.94,3.21,5.65,1.43,0,10.67,3.43,2.93,8.87,0,11.69,4.63,0,0.43,68.51,91.95,3.57,1.11,0,5.23,0,0,11.6,0,0,5.48,0,0,0,0,0
 60-70,0,0,0,0,442.63,0,7.27,186.49,36.48,3.32,13.51,2.69,0,12.58,0,5.06,0,0,16.83,3.85,0.63,0,24.4,89.52,2.66,0,0,13.41,0,0,18.49,0,0,3.77,1.83,1.44,2.55,0.57,0
 72-82,0,0,0,0,299.62,2.01,25.69,105.44,11.81,2.91,17.7,0,1.07,21.02,0,4.29,1.08,0,12.42,4.85,1.4,1.43,28.31,28.59,4.6,2.51,0,2.55,0,0,5.89,0,0,7.07,0,0.5,0,0,15.46
 84-94,0,0,2.1,2,543.09,0,41.52,160.3,17.18,3.57,40.58,3.46,0,41.69,0,9.72,1.49,4.55,25.37,6.8,0,0.77,24.77,63.65,7.09,3.27,0,9.88,0,0,8.92,0,0,7.21,6.42,2.16,0,1.59,0
 96-106,0,0,4.64,0,540.07,8.13,33.57,131.58,20.08,0.6,29.91,0,0.64,65.81,1.47,0.65,4.97,0,26.77,5.61,0,0.91,41.99,44.65,7.41,8.86,0,7.78,0,0,5.8,0.61,0,3.11,4.89,0,0,1.63,0
108-118,0.83,0,1.82,0,601.82,0.88,11.74,203.66,15.03,3.21,50.27,0,0,63.38,0.55,4.47,6.17,0,34.62,5,0,0.73,21.07,58.26,7.4,7.68,0,5.16,0,0,12.9,0,0,0.42,8.79,0,0.88,1.14,0
120,1.12,0,11.31,0,536.56,1.71,13.8,143.02,9.79,0,22.59,0,1.99,34.3,0,17.87,0,0,28.33,10.5,0,0,29.36,121.22,5.26,10.06,0,2.32,0,0,12.8,0,0,0,0,0,0,0,0
