stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.74,8.4,0,0,0,0,0,0,0
 14-21,0,0,1.44,0,0,0,0,0,0,0,0.97,0,5.5,0,0,0,0.98,0,0,0,0
 24-34,0,0.74,0,1.53,0,0.72,0,0,0,0,0.92,0,3.56,0,0,0.73,1.44,0,0,0,0
 36-46,0,0,0,0,0,1.47,0,0,0,0,1.06,1.08,9.01,0,1.21,0,1.15,0,0,0,0
 48-58,0.54,1.2,0,1.94,1.11,0.47,0,0,0,0,0.48,0.38,11.79,0,0,0,3.29,0,0,0,0
 60-70,0,0,0,8.31,0,0,1.66,0,0,0.59,0,0.6,9.41,0,0,0,0,0,0,0,0
 72-82,0,0.49,0,24.63,0,1.68,0,0.5,0,0,0.88,0,2.03,0,0,0,0,0,0,1.16,0
 84-94,0,0.79,0,1.23,0,1.77,0,1.54,0,0,0.73,0.83,10.05,0,0,0,0,0,0,0,2.6
 96-106,0,0.6,0,6.98,0,2.64,0,2.34,0.66,0,1.98,0.85,7.55,0,1.13,0,0,0,1.64,0,0
108-118,0,0,0,1.67,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0.71,0,0,0
120,0,2.12,0,5.69,0,0,1.04,1.65,0,0,0,0,6.73,0,0,0,0,0,0,0,0
